N	2gram	Savitsky_E	Hudozhes
1	в качестве	14	31
2	то есть	6	26
3	в мире	2	24
4	и в	37	23
5	не только	18	20
6	в том	11	20
7	может быть	6	19
8	в частности	5	18
9	и не	14	16
10	но и	14	14
11	а в	2	13
12	в себе	9	13
13	но не	5	13
14	а не	2	13
15	то же	15	12
16	в этом	12	12
17	так и	10	12
18	как бы	6	11
19	точки зрения	23	11
20	представляет собой	3	11
21	в его	2	11
22	но в	14	10
23	не в	5	9
24	или иной	4	9
25	том что	6	9
26	не может	9	9
27	с другой	7	9
28	в то	16	8
29	в области	11	8
30	в самом	4	7
31	по своей	2	7
32	в своей	8	7
33	только в	9	7
34	же время	14	7
35	как это	4	7
36	что в	21	7
37	всего лишь	3	6
38	другой стороны	2	6
39	а также	7	6
40	можно сказать	4	6
41	в ее	8	6
42	тем самым	5	5
43	с другими	2	5
44	той или	4	5
45	могут быть	2	5
46	между ними	2	5
47	место в	3	5
48	иначе говоря	2	5
49	для того	6	5
50	того чтобы	6	5
51	со стороны	5	5
52	в их	11	5
53	не является	3	5
54	не на	4	5
55	то что	6	5
56	прежде всего	9	5
57	того что	7	5
58	и то	2	4
59	сказать что	4	4
60	в отношении	32	4
61	или иного	4	4
62	далеко не	2	4
63	того или	4	4
64	к тому	8	4
65	между тем	8	4
66	в данном	3	4
67	во втором	2	4
68	в силу	2	4
69	и как	2	4
70	и тем	3	4
71	и что	2	4
72	в этих	2	4
73	он не	2	4
74	в своем	14	4
75	хотя и	2	4
76	даже в	4	3
77	к нему	2	3
78	и для	3	3
79	по своему	7	3
80	и притом	4	3
81	как совокупность	4	3
82	как и	7	3
83	того же	3	3
84	культуры в	4	3
85	потому что	3	3
86	одной стороны	8	3
87	по преимуществу	2	3
88	в свою	3	3
89	и к	3	3
90	во всех	6	3
91	в культуре	3	3
92	а именно	2	3
93	и на	6	3
94	мог бы	2	3
95	если бы	2	3
96	в той	5	3
97	не будет	3	3
98	и прежде	3	3
99	с точки	17	3
100	и того	2	3
101	с этой	6	3
102	таким образом	2	3
103	в таком	3	3
104	есть в	2	3
105	во всей	2	3
106	этом смысле	3	3
107	отношении к	15	3
108	в пределах	25	3
109	в одном	2	3
110	с одной	8	3
111	известной степени	3	3
112	имеет место	2	3
113	никогда не	3	2
114	о том	3	2
115	одной из	5	2
116	для понимания	2	2
117	в каком	4	2
118	как в	3	2
119	начиная с	2	2
120	ее в	3	2
121	и потому	5	2
122	то в	4	2
123	идет о	3	2
124	столь же	5	2
125	или в	2	2
126	существования в	3	2
127	именно в	4	2
128	жизни в	3	2
129	но как	2	2
130	к такой	2	2
131	тем более	4	2
132	или иную	3	2
133	мира и	3	2
134	и существенно	2	2
135	вслед за	6	2
136	этой точки	5	2
137	ни столь	2	2
138	так же	9	2
139	свою очередь	2	2
140	но на	3	2
141	в европейской	2	2
142	и по	5	2
143	между собой	2	2
144	в известном	3	2
145	отнюдь не	9	2
146	в них	3	2
147	по себе	4	2
148	в порядке	2	2
149	несмотря на	4	2
150	мира в	4	2
151	в сторону	2	2
152	что и	3	2
153	и некоторые	3	2
154	большей части	2	2
155	ту или	3	2
156	в значительной	2	2
157	то ни	4	2
158	ни было	4	2
159	в случае	2	2
160	и более	2	2
161	в этой	2	2
162	ними и	2	2
163	в какой	2	2
164	духовной жизни	2	2
165	вовсе не	6	2
166	заключается в	2	2
167	на основе	2	2
168	известном смысле	3	2
169	бы то	4	2
170	при условии	2	2
