N	2gram	Voloshinov	DiskursI
1	а не	2	60
2	может быть	8	56
3	не только	6	49
4	и в	13	49
5	как и	3	47
6	при этом	2	46
7	в том	2	44
8	и не	8	44
9	том что	2	40
10	в этом	2	38
11	в себе	3	37
12	но и	3	35
13	своего рода	2	32
14	и т.п	7	32
15	так и	3	28
16	но в	4	28
17	не может	8	27
18	как в	2	25
19	а также	2	20
20	все же	5	19
21	прежде всего	9	19
22	в нем	2	19
23	в своей	4	19
24	по отношению	3	17
25	в данном	2	17
26	то же	4	17
27	с другой	2	17
28	отношению к	3	17
29	точки зрения	7	16
30	только в	6	16
31	роль в	2	15
32	в его	7	15
33	то что	6	15
34	не в	3	14
35	не менее	2	14
36	одной стороны	2	14
37	не является	4	14
38	с одной	2	14
39	в целом	2	13
40	для него	2	13
41	как бы	6	13
42	данном случае	2	12
43	и все	3	12
44	в своих	2	12
45	что в	3	11
46	для себя	2	10
47	а в	2	10
48	не столько	3	10
49	и т.д	5	10
50	между тем	2	9
51	в них	2	9
52	еще в	2	9
53	к тому	2	8
54	не на	2	8
55	соответствии с	2	8
56	в одном	3	8
57	могут быть	2	7
58	и ее	2	7
59	и для	3	7
60	в процессе	5	7
61	другой стороны	2	7
62	лишь в	4	7
63	в пределах	3	7
64	и его	12	7
65	таким образом	6	7
66	никогда не	3	6
67	не как	3	6
68	что же	3	6
69	и может	2	6
70	в ее	3	6
71	имеет место	2	6
72	и то	3	6
73	героя и	2	6
74	с точки	5	6
75	в другом	2	5
76	в их	3	5
77	несмотря на	2	5
78	за пределы	3	5
79	говорить о	3	5
80	в ней	2	5
81	тем что	2	5
82	общения и	2	4
83	и тем	2	4
84	и др	2	4
85	того или	2	4
86	может иметь	2	4
87	в произведении	2	4
88	более того	2	4
89	его на	2	4
90	что они	2	4
91	или иного	2	4
92	в самом	2	4
93	и к	2	4
94	еще и	4	3
95	в полном	2	3
96	в тех	2	3
97	языка и	5	3
98	в области	2	3
99	в действительности	2	3
100	литературного произведения	2	3
101	в структуре	2	3
102	но так	2	3
103	все эти	2	3
104	было бы	4	3
105	мы не	4	3
106	да и	3	3
107	одно и	3	3
108	произведения как	4	3
109	с этим	3	3
110	хотя бы	5	3
111	в которой	3	3
112	и наконец	5	3
113	не имеет	2	3
114	всей своей	2	3
115	входит в	2	3
116	уже в	2	3
117	в лингвистике	2	3
118	слова и	2	3
119	в книге	2	2
120	в отношении	2	2
121	к одному	3	2
122	которое может	2	2
123	мы должны	6	2
124	вслед за	2	2
125	вопроса о	4	2
126	в каждом	4	2
127	есть не	2	2
128	к предмету	2	2
129	от своего	2	2
130	ни одно	2	2
131	и при	2	2
132	во времени	2	2
133	самом деле	3	2
134	в чем	2	2
135	со всей	3	2
136	с самого	2	2
137	в г	2	2
138	те же	2	2
139	самого начала	2	2
140	все это	4	2
141	на язык	2	2
142	вовсе не	2	2
143	речи не	2	2
144	эстетического объекта	5	2
145	мы можем	4	2
146	если бы	2	2
147	в языке	2	2
148	и их	7	2
149	с этой	2	2
150	представляет себе	2	2
151	на фоне	4	2
152	и должно	2	2
153	ее в	2	2
154	ни один	3	2
155	но для	3	2
156	во всем	2	2
157	а как	2	2
158	с помощью	2	2
