N	2gram	Berdyaev_N	Stilisti
1	и в	16	42
2	не только	5	28
3	и т.п	2	25
4	прежде всего	4	22
5	хотя бы	2	18
6	но и	3	16
7	и не	11	14
8	не может	16	13
9	может быть	7	13
10	как и	7	12
11	в себе	2	10
12	общественной жизни	6	10
13	в этом	7	10
14	в то	2	9
15	то что	4	9
16	мы не	2	9
17	и это	2	8
18	с тем	3	8
19	в ней	5	8
20	с его	6	8
21	никогда не	6	7
22	и от	2	7
23	так и	2	7
24	потому что	4	7
25	а не	17	7
26	и на	2	7
27	того чтобы	2	7
28	когда мы	2	6
29	во всех	3	6
30	не в	6	6
31	в нем	5	6
32	все время	2	5
33	как это	2	5
34	а в	2	5
35	но в	2	5
36	и с	2	5
37	вместе с	2	5
38	так же	2	4
39	лишь в	6	4
40	можно было	2	4
41	в обществе	2	4
42	и все	4	4
43	к тому	3	4
44	о том	4	4
45	и пр	3	4
46	что такое	3	4
47	уже не	2	4
48	и к	5	4
49	не существует	3	4
50	связаны с	2	4
51	все это	5	4
52	себя в	2	4
53	не к	2	4
54	сказать что	3	3
55	это не	4	3
56	том что	2	3
57	в будущем	2	3
58	но для	2	3
59	и даже	2	3
60	роль в	2	3
61	в том	8	3
62	еще не	3	3
63	как в	3	3
64	не знает	6	3
65	по своему	4	3
66	и для	4	3
67	нет и	2	3
68	должно было	2	3
69	быть может	4	3
70	не будет	7	3
71	хотя и	2	3
72	общества и	2	3
73	жизни и	8	3
74	в ее	3	3
75	все эти	2	3
76	конечно не	3	3
77	в основе	3	3
78	для этого	2	2
79	вопрос о	3	2
80	и потому	4	2
81	помнить что	2	2
82	с этим	2	2
83	бытия в	2	2
84	человека и	3	2
85	времени и	2	2
86	должно быть	4	2
87	должен быть	5	2
88	ни к	2	2
89	ведь и	2	2
90	со всех	4	2
91	в жизни	5	2
92	в мире	3	2
93	но не	2	2
94	равно как	2	2
95	зависит от	2	2
96	не есть	3	2
97	место в	2	2
98	не было	4	2
99	как не	8	2
100	но это	6	2
101	в своей	3	2
102	не будут	2	2
103	он не	8	2
104	перейти к	3	2
