N	2gram	Losev_Vlad	NovoeSre
1	а не	5	17
2	и в	56	16
3	не может	12	16
4	совсем не	7	12
5	и не	33	11
6	и есть	2	10
7	что в	24	9
8	жизни и	8	8
9	в том	26	8
10	он не	13	8
11	может быть	12	7
12	как и	7	7
13	в этом	30	7
14	никогда не	15	6
15	в высшей	2	6
16	лишь в	3	6
17	ни в	4	6
18	не в	12	6
19	но это	6	6
20	с его	15	6
21	не только	35	5
22	в жизни	4	5
23	все это	7	5
24	в нем	7	5
25	в ней	5	5
26	истории в	2	5
27	и к	10	5
28	по своему	5	4
29	в них	5	4
30	и для	4	4
31	не имеет	2	4
32	прежде всего	5	4
33	не менее	9	4
34	не было	12	4
35	и потому	8	4
36	и мы	6	4
37	то что	30	4
38	о том	13	4
39	это не	3	4
40	потому что	16	4
41	и все	8	4
42	но и	26	3
43	к жизни	2	3
44	с другой	3	3
45	она не	3	3
46	к тому	5	3
47	в россии	7	3
48	что такое	3	3
49	жизни в	3	3
50	в своей	7	3
51	еще не	2	3
52	в истории	4	3
53	как в	6	3
54	конечно не	5	3
55	не есть	4	3
56	за пределы	3	3
57	сказать что	14	3
58	во всех	4	3
59	это было	9	3
60	бога и	3	3
61	с тем	4	3
62	время как	3	2
63	в себе	5	2
64	к богу	2	2
65	что она	2	2
66	как будто	2	2
67	и с	27	2
68	том чтобы	4	2
69	себя в	6	2
70	но не	5	2
71	нет и	2	2
72	что все	2	2
73	и от	6	2
74	в русском	2	2
75	не могли	2	2
76	того чтобы	4	2
77	и это	4	2
78	хотя бы	5	2
79	в новом	2	2
80	когда мы	2	2
81	и весь	2	2
82	а в	20	2
83	но в	19	2
84	том что	22	2
85	не к	2	2
86	и на	7	2
87	с этим	3	2
88	и что	11	2
89	все эти	6	2
90	в будущем	2	2
91	мы не	2	2
92	жизни все	2	2
93	в свои	2	2
94	это и	2	2
95	образ мыслей	2	2
96	времени в	2	2
97	у него	28	2
98	уже не	6	2
99	по существу	4	2
100	как это	11	2
101	другой стороны	3	2
102	так же	4	2
103	так и	11	2
104	ни к	2	2
105	такого рода	4	2
106	но она	4	2
107	в то	15	2
108	не могла	3	2
109	хотя и	9	2
110	мысли и	5	2
111	этом смысле	4	2
112	но я	4	2
113	место в	2	2
114	и даже	23	2
115	вместе с	9	2
116	я не	8	2
