N	2gram	Losev_Vesc	VLabPisa
1	таким образом	16	32
2	в этом	17	29
3	не только	48	26
4	и в	44	26
5	и т	37	25
6	может быть	37	23
7	хотя бы	9	20
8	и не	57	20
9	т е	79	18
10	не может	44	17
11	т д	36	16
12	в том	15	15
13	в его	5	15
14	этом отношении	2	14
15	в силу	4	14
16	прежде всего	17	13
17	все это	7	13
18	в частности	3	12
19	как это	4	12
20	в качестве	4	12
21	что в	11	11
22	с другой	8	11
23	из них	7	11
24	то же	12	10
25	но и	19	10
26	о том	11	10
27	к этому	2	9
28	об этом	5	9
29	для него	8	9
30	в своем	9	8
31	том что	13	8
32	другой стороны	3	8
33	все эти	5	8
34	было бы	24	8
35	только в	23	8
36	вместе с	4	8
37	очевидно что	2	7
38	это не	9	7
39	во всех	5	7
40	то что	47	7
41	действительности и	5	7
42	тому что	2	7
43	как и	15	7
44	их в	6	7
45	в нем	6	7
46	главным образом	3	7
47	не было	4	7
48	говорит о	3	7
49	а не	34	7
50	не в	14	6
51	в то	11	6
52	в себе	23	6
53	или менее	4	6
54	это и	12	6
55	все же	18	6
56	у него	3	6
57	идеи и	3	6
58	так и	4	6
59	более или	4	6
60	приводит к	2	6
61	один из	5	6
62	и его	4	6
63	бы и	9	6
64	никогда не	5	5
65	сказать что	21	5
66	в одном	6	5
67	перед нами	3	5
68	в результате	9	5
69	в их	4	5
70	не является	3	5
71	к тому	3	5
72	он говорит	2	5
73	как бы	19	5
74	утверждать что	2	5
75	в целом	3	5
76	вот почему	3	5
77	же время	4	5
78	и есть	40	5
79	одна из	6	4
80	и ее	19	4
81	только что	2	4
82	в виду	2	4
83	это только	2	4
84	в философии	8	4
85	что он	7	4
86	по существу	3	4
87	с тем	8	4
88	что все	2	4
89	что для	5	4
90	когда он	2	4
91	должен быть	5	4
92	для его	2	4
93	отнюдь не	8	4
94	в самом	13	4
95	равно как	4	4
96	как раз	16	4
97	в ее	8	4
98	с ними	4	4
99	в своей	6	4
100	является не	2	4
101	можно сказать	8	4
102	в этой	4	4
103	из его	2	4
104	чем же	5	4
105	с его	2	4
106	и от	4	3
107	никак не	7	3
108	при помощи	4	3
109	реальная действительность	2	3
110	с этим	4	3
111	мы имеем	8	3
112	так же	4	3
113	но как	3	3
114	том как	4	3
115	например что	2	3
116	бы в	9	3
117	та или	2	3
118	но даже	3	3
119	в конце	3	3
120	его в	8	3
121	и как	12	3
122	тому как	5	3
123	если бы	8	3
124	подобно тому	5	3
125	как он	2	3
126	как о	5	3
127	для того	3	3
128	и их	11	3
129	у нас	9	3
130	при всем	2	3
131	моментов в	2	3
132	того что	16	3
133	мы видели	3	3
134	нет и	4	3
135	явлений и	3	3
136	далеко не	2	3
137	этот вопрос	6	3
138	видели что	3	3
139	что у	5	3
140	она не	9	3
141	в явлении	4	3
142	а в	6	3
143	в котором	4	3
144	именно в	2	3
145	точки зрения	10	3
146	даже и	5	3
147	что оно	10	3
148	со своим	8	3
149	а вот	3	3
150	между ними	6	3
151	человека и	3	3
152	что не	11	3
153	жизни и	6	3
154	того чтобы	4	3
155	что и	11	3
156	сводится к	4	3
157	или в	3	3
158	что они	12	3
159	же и	2	3
160	в слове	2	3
161	момент в	6	3
162	вовсе не	11	3
163	не о	2	2
164	относится к	6	2
165	от его	2	2
166	да и	5	2
167	самого себя	2	2
168	я бы	2	2
169	чтобы не	2	2
170	необходимо и	5	2
171	если они	2	2
