N	3gram	Potebnia_M	Marksizm
1	с точки зрения	3	46
2	не может быть	11	25
3	в то же	3	15
4	по отношению к	13	15
5	то же время	3	15
6	в связи с	2	14
7	в том что	18	14
8	бы то ни	2	12
9	для того чтобы	4	11
10	до сих пор	5	11
11	с самого начала	5	10
12	одного и того	6	9
13	и того же	6	9
14	смысле этого слова	3	7
15	с другой стороны	7	7
16	в свою очередь	8	7
17	во всяком случае	7	6
18	на самом деле	2	6
19	языка и его	5	6
20	на то что	3	6
21	с одной стороны	6	6
22	и как бы	4	5
23	в таком случае	4	5
24	к тому что	2	5
25	но все же	2	4
26	в применении к	3	3
27	тем не менее	10	3
28	более или менее	6	3
29	все более и	2	3
30	одной и той	3	3
31	более и более	2	3
32	не могут быть	5	3
33	и той же	3	3
34	одной стороны и	2	3
35	на этот вопрос	2	3
36	не только в	3	3
37	но и в	4	3
38	не было бы	3	3
39	и в этом	7	3
40	по крайней мере	6	2
41	что во всех	2	2
42	от того что	5	2
43	само по себе	6	2
44	если б мы	2	2
45	таким образом в	3	2
46	так и в	5	2
47	в противном случае	3	2
48	как и в	3	2
49	язык не есть	2	2
50	а между тем	5	2
51	сами по себе	8	2
52	уже с самого	2	2
53	мы видели что	2	2
54	сама по себе	4	2
55	друг от друга	3	2
56	с тем что	4	2
57	в собственном смысле	2	2
58	и в том	3	2
59	о происхождении языка	7	2
60	в этом смысле	4	2
