N	2gram	Nazirov_Vr	KulturaY
1	т е	3	102
2	и в	8	84
3	в том	3	74
4	не только	9	60
5	точки зрения	2	59
6	в этом	8	57
7	и не	5	52
8	может быть	4	47
9	том что	3	44
10	что в	7	44
11	с точки	2	36
12	таким образом	2	33
13	в его	3	30
14	все же	6	29
15	не менее	2	28
16	уже не	2	26
17	не может	2	25
18	то что	7	25
19	еще не	2	24
20	то же	5	23
21	но и	7	20
22	и что	8	20
23	что он	4	19
24	но в	6	19
25	тем что	3	19
26	о том	4	19
27	между тем	5	18
28	связи с	3	18
29	все это	4	18
30	как бы	4	18
31	и с	6	18
32	вместе с	2	18
33	это не	4	17
34	как раз	2	17
35	в той	2	17
36	в виду	4	16
37	а в	2	15
38	при этом	4	15
39	целый ряд	4	15
40	не было	5	15
41	в них	2	14
42	в связи	3	14
43	я не	3	14
44	в ней	4	14
45	в этой	2	13
46	для нас	4	13
47	и его	3	13
48	в своем	3	11
49	в нем	6	11
50	и то	2	11
51	уже в	4	11
52	он не	3	11
53	в письмах	2	10
54	так же	4	10
55	в то	5	10
56	к этому	3	10
57	как и	6	10
58	речь идет	3	10
59	в нашей	2	10
60	тем более	2	10
61	несмотря на	4	10
62	в своей	2	9
63	рядом с	2	9
64	а также	2	9
65	но это	2	9
66	на то	3	9
67	в своих	4	8
68	в чем	3	8
69	и о	3	8
70	с его	3	8
71	и как	3	8
72	об этом	5	8
73	далеко не	3	8
74	что я	2	8
75	отнюдь не	2	8
76	же в	2	8
77	в свою	2	7
78	а с	2	7
79	в истории	4	7
80	столь же	2	7
81	в котором	6	7
82	с ним	4	7
83	в себе	2	6
84	п в	2	6
85	мы знаем	2	6
86	же время	5	6
87	на основе	2	6
88	никогда не	2	5
89	как же	2	5
90	к себе	2	5
91	в конце	3	5
92	и у	3	5
93	о нем	6	5
94	так в	2	5
95	но как	2	5
96	и он	2	5
97	и даже	6	5
98	у него	5	5
99	отношение к	2	5
100	его в	3	4
101	о чем	2	4
102	и далее	2	4
103	и все	7	4
104	письмо к	2	4
105	в известном	2	4
106	же как	2	4
107	эти слова	3	4
108	в году	18	4
109	это в	2	4
110	на это	2	4
111	отношения к	2	4
112	и это	2	4
113	из них	2	4
114	но он	3	4
115	не мог	2	4
116	в это	2	3
117	наряду с	3	3
118	в россии	5	3
119	том же	2	3
120	в романе	6	3
121	на место	2	3
122	его и	2	3
123	в него	2	3
124	к ним	2	3
125	в начале	6	3
126	во время	2	3
127	в одну	2	3
128	тогда как	2	3
129	одним из	3	3
130	что есть	3	3
131	для него	2	3
132	что у	3	3
133	давно уже	3	3
134	и уже	3	3
135	за год	2	2
136	начиная с	2	2
137	достоевского и	7	2
138	письме к	4	2
139	он пишет	2	2
140	печати и	2	2
141	ответ на	2	2
142	в эти	2	2
143	же не	2	2
144	у достоевского	4	2
145	одна из	2	2
146	х годов	4	2
147	в глазах	2	2
148	и а	2	2
149	во многом	4	2
150	в русской	3	2
151	в период	2	2
152	он тоже	2	2
