N	2gram	Tiupa_Vved	PoTuStor
1	может быть	25	17
2	и в	23	16
3	мы можем	2	9
4	в этом	27	9
5	и только	2	9
6	таким образом	6	9
7	прежде всего	11	9
8	и с	2	8
9	совершенно не	2	8
10	не может	14	8
11	и его	9	8
12	не только	32	7
13	и это	2	6
14	самом деле	6	6
15	и к	2	6
16	для него	5	6
17	при этом	43	6
18	что такое	23	5
19	как бы	8	5
20	еще не	8	5
21	в чем	2	5
22	в него	2	5
23	отношение к	5	5
24	как мы	5	4
25	и на	5	4
26	все это	3	4
27	на самом	5	4
28	в его	9	4
29	и ее	2	4
30	но и	31	4
31	и не	24	4
32	и все	8	4
33	но в	14	4
34	в этой	2	4
35	с ее	3	4
36	и наконец	2	4
37	все что	3	4
38	только в	9	4
39	в нем	9	4
40	хотя бы	2	4
41	с ними	2	4
42	можно сказать	6	4
43	так и	14	4
44	отнюдь не	14	4
45	и даже	3	4
46	едва ли	4	3
47	что в	6	3
48	и притом	3	3
49	жизни и	8	3
50	и оно	2	3
51	и как	2	3
52	и потому	2	3
53	тех же	2	3
54	а в	15	3
55	в том	21	3
56	их в	3	3
57	и вот	3	3
58	в области	5	3
59	те же	2	3
60	только на	2	3
61	и есть	2	3
62	во время	3	3
63	в этих	5	3
64	в конечном	2	3
65	с их	2	3
66	как это	2	3
67	то что	9	3
68	во всех	2	3
69	мира и	5	3
70	могут быть	5	3
71	всяком случае	3	3
72	вместе с	2	3
73	в одном	5	3
74	к себе	2	3
75	и др	2	3
76	во всяком	3	3
77	том что	16	3
78	в основе	6	3
79	один из	3	2
80	никогда не	6	2
81	для нас	4	2
82	что мы	2	2
83	по своему	3	2
84	в них	4	2
85	не можем	2	2
86	в жизни	7	2
87	к ним	4	2
88	для этого	2	2
89	и для	8	2
90	что не	2	2
91	что это	2	2
92	нашего времени	2	2
93	аналогии с	2	2
94	и по	3	2
95	а на	4	2
96	что и	6	2
97	не менее	4	2
98	на первый	3	2
99	не существует	3	2
100	было бы	4	2
101	сводится к	6	2
102	возникает в	2	2
103	на друга	2	2
104	в историю	2	2
105	о том	7	2
106	можно назвать	2	2
107	то же	8	2
108	они не	3	2
109	как и	21	2
110	что он	2	2
111	так же	2	2
112	говорить о	5	2
113	в своей	10	2
114	мы не	6	2
115	из этих	5	2
116	в самом	6	2
117	в начале	3	2
118	в детской	3	2
119	по аналогии	4	2
120	не на	3	2
121	в частности	19	2
122	и вся	3	2
123	он не	6	2
124	в голову	2	2
125	у него	8	2
126	своей жизни	3	2
127	при всей	3	2
128	и о	4	2
129	оно не	2	2
130	не есть	2	2
131	всех его	2	2
132	к этому	3	2
133	что на	4	2
134	конечном счете	2	2
135	и через	2	2
136	не знает	2	2
137	в пределах	3	2
138	и т.п	14	2
139	есть в	2	2
140	друг на	2	2
141	в этот	3	2
142	на основе	2	2
143	с ним	3	2
144	на протяжении	2	2
145	между собой	2	2
146	но это	4	2
147	в итоге	4	2
