N	3gram	Bakhtin_Pr	Dialekti
1	с точки зрения	21	46
2	по крайней мере	3	26
3	сама по себе	3	26
4	в том что	10	25
5	не может быть	8	18
6	само по себе	4	16
7	то же время	10	15
8	в то же	10	14
9	о том что	5	12
10	с другой стороны	3	12
11	в самом деле	5	10
12	подобно тому как	5	9
13	что он есть	3	9
14	и в этом	8	9
15	это и есть	3	9
16	только то что	2	8
17	в то время	3	8
18	в этом смысле	12	8
19	то время как	2	8
20	той или иной	3	7
21	можно сказать что	3	7
22	сами по себе	4	7
23	не потому что	3	7
24	для того чтобы	3	6
25	во всяком случае	3	6
26	в зависимости от	5	6
27	и в то	3	6
28	на самом деле	4	5
29	в конце концов	7	5
30	до сих пор	3	5
31	потому что она	3	5
32	потому что он	2	5
33	по сравнению с	2	5
34	а не только	2	4
35	как раз и	2	4
36	так же как	4	4
37	но это не	3	4
38	может быть только	3	4
39	в данном случае	3	4
40	можем сказать что	2	4
41	этой точки зрения	3	4
42	в этом отношении	7	4
43	можно было бы	4	4
44	это не значит	3	4
45	мы можем сказать	2	4
46	бы то ни	3	3
47	он не может	2	3
48	же как и	3	3
49	и как бы	3	3
50	но в то	5	3
51	то что я	2	3
52	с самого начала	3	3
53	не только в	2	3
54	то же что	3	3
55	но потому что	2	3
56	и не может	3	3
57	но все же	3	3
58	это вовсе не	2	3
59	в той или	2	3
60	том что все	2	2
61	друг к другу	4	2
62	друг с другом	4	2
63	она не может	3	2
64	в лучшем случае	3	2
65	друг от друга	2	2
66	потому что они	2	2
67	хотя бы и	3	2
68	мы видим что	2	2
69	в нем и	2	2
70	и в том	2	2
71	что она не	3	2
72	в каждом из	2	2
