N	2gram	Tiupa_Narr	OGranits
1	и в	19	13
2	и его	5	12
3	прежде всего	4	9
4	и не	20	8
5	не может	10	8
6	может быть	25	8
7	в его	9	7
8	точки зрения	10	7
9	и т.п	8	7
10	не только	32	6
11	как бы	4	6
12	только в	4	6
13	то что	11	6
14	языка и	2	5
15	и т.д	7	5
16	все же	7	5
17	с точки	2	5
18	хотя бы	4	5
19	но в	6	4
20	то же	4	4
21	не является	8	4
22	было бы	4	4
23	в двух	2	4
24	никогда не	3	3
25	да и	4	3
26	и для	2	3
27	и все	2	3
28	в ее	3	3
29	отношению к	6	3
30	как и	7	3
31	в пределах	2	3
32	не в	14	3
33	говорить о	2	3
34	в себе	8	3
35	что в	3	3
36	по отношению	7	3
37	точку зрения	4	3
38	самом деле	2	3
39	так и	9	3
40	не как	2	3
41	но и	23	3
42	не столько	4	3
43	могут быть	3	2
44	своего рода	12	2
45	в этом	17	2
46	данном случае	4	2
47	уже в	3	2
48	в том	18	2
49	тем что	3	2
50	несмотря на	2	2
51	в произведении	3	2
52	с одной	7	2
53	не имеет	2	2
54	или иного	2	2
55	всей своей	2	2
56	роль в	2	2
57	и др	2	2
58	во времени	8	2
59	с другой	8	2
60	от всех	2	2
61	а в	11	2
62	и тем	4	2
63	том что	14	2
64	того или	2	2
65	а также	7	2
66	в связи	2	2
67	в данном	5	2
68	не менее	3	2
69	описания и	2	2
70	все эти	2	2
71	в области	2	2
72	так же	2	2
73	что они	3	2
74	те же	4	2
75	героя и	4	2
76	нуждается в	5	2
77	в полном	2	2
78	в нем	4	2
79	не на	2	2
80	при этом	9	2
81	и ее	2	2
82	что иное	2	2
83	а не	12	2
84	во всей	2	2
85	в ней	3	2
86	вслед за	4	2
87	как в	7	2
88	другой стороны	4	2
89	мог бы	3	2
90	одной стороны	7	2
91	между тем	3	2
92	имеет место	4	2
93	иное как	2	2
94	не что	2	2
95	к тому	7	2
96	не мог	4	2
97	наконец в	2	2
98	для него	2	2
99	в структуре	2	2
