N	3gram	Losev_Prob	EvropaiC
1	в том что	13	16
2	до сих пор	3	15
3	по отношению к	2	11
4	с точки зрения	13	8
5	на самом деле	2	7
6	для того чтобы	3	7
7	на то что	2	7
8	так или иначе	3	5
9	к тому же	5	5
10	тем не менее	8	4
11	с другой стороны	7	4
12	в конце концов	7	4
13	о том что	14	4
14	не может быть	2	4
15	то ни было	2	3
16	вместе с тем	5	3
17	бы то ни	4	3
18	в настоящее время	7	3
19	в данном случае	5	3
20	все же не	3	3
21	в связи с	11	3
22	и то что	3	3
23	ничего общего с	2	2
24	с одной стороны	5	2
25	во всяком случае	6	2
26	но все же	2	2
27	в то время	4	2
28	а с другой	3	2
29	том что он	3	2
30	в то же	2	2
31	в свою очередь	2	2
