N	2gram	Berdyaev_N	VLabPisa
1	в этом	7	29
2	не только	5	26
3	и в	16	26
4	может быть	7	23
5	хотя бы	2	20
6	и не	11	20
7	не может	16	17
8	в том	8	15
9	прежде всего	4	13
10	все это	5	13
11	как это	2	12
12	что в	9	11
13	с другой	3	11
14	но и	3	10
15	о том	4	10
16	том что	2	8
17	могут быть	2	8
18	другой стороны	2	8
19	все эти	2	8
20	вместе с	2	8
21	это не	4	7
22	во всех	3	7
23	то что	4	7
24	как и	7	7
25	в нем	5	7
26	не было	4	7
27	а не	17	7
28	не в	6	6
29	в то	2	6
30	в себе	2	6
31	это и	2	6
32	у него	2	6
33	так и	2	6
34	никогда не	6	5
35	сказать что	3	5
36	к тому	3	5
37	в них	4	5
38	вот почему	2	5
39	и есть	10	5
40	одна из	2	4
41	роль в	2	4
42	по существу	2	4
43	с тем	3	4
44	что все	2	4
45	должен быть	5	4
46	равно как	2	4
47	в ее	3	4
48	познания и	2	4
49	в своей	3	4
50	с его	6	4
51	и от	2	3
52	и к	5	3
53	с этим	2	3
54	так же	2	3
55	тому как	3	3
56	подобно тому	3	3
57	нет и	2	3
58	она не	3	3
59	а в	2	3
60	мира и	2	3
61	человека и	3	3
62	жизни и	8	3
63	того чтобы	2	3
64	и потому	4	2
65	одной стороны	2	2
66	можно было	2	2
67	дня и	3	2
68	должно быть	4	2
69	что она	2	2
70	и формы	2	2
71	и даже	2	2
72	и весь	2	2
73	связана с	2	2
74	все они	2	2
75	еще не	3	2
76	формы и	2	2
77	с одной	2	2
78	в жизни	5	2
79	к ним	3	2
80	том чтобы	2	2
81	но не	2	2
82	и для	4	2
83	не менее	4	2
84	но в	2	2
85	ли это	2	2
86	что такое	3	2
87	зависит от	2	2
88	ни одна	2	2
89	в ней	5	2
90	и заключается	2	2
91	но для	2	2
92	значит что	4	2
93	смысле слова	3	2
94	войны и	2	2
95	же как	2	2
96	он не	8	2
97	должна быть	3	2
98	который в	2	2
99	хотя и	2	2
100	лишь в	6	2
