N	2gram	Nazirov_Vr	Stilisti
1	и в	8	42
2	как бы	4	30
3	не только	9	28
4	и т.п	2	25
5	то же	5	16
6	но и	7	16
7	и не	5	14
8	не может	2	13
9	может быть	4	13
10	как и	6	12
11	точки зрения	2	11
12	в себе	2	10
13	и как	3	10
14	отнюдь не	2	10
15	в этом	8	10
16	в то	5	9
17	все же	6	9
18	то что	7	9
19	эти слова	3	9
20	при этом	4	9
21	и это	2	8
22	в ней	4	8
23	таким образом	2	8
24	с его	3	8
25	никогда не	2	7
26	же время	5	7
27	и его	3	7
28	в конце	3	6
29	в нем	6	6
30	в свою	2	6
31	в его	3	6
32	в этой	2	6
33	и то	2	5
34	а с	2	5
35	а в	2	5
36	но в	6	5
37	и с	6	5
38	уже в	4	5
39	в той	2	5
40	с точки	2	5
41	вместе с	2	5
42	так же	4	4
43	на это	2	4
44	его в	3	4
45	и все	7	4
46	о том	4	4
47	уже не	2	4
48	все это	4	4
49	это не	4	3
50	том что	3	3
51	в начале	6	3
52	об этом	5	3
53	и даже	6	3
54	целый ряд	4	3
55	в виду	4	3
56	в том	3	3
57	еще не	2	3
58	его и	2	3
59	для него	2	3
60	что у	3	3
61	в котором	6	3
62	их в	2	3
63	ответ на	2	3
64	из них	2	3
65	для нас	4	3
66	несмотря на	4	3
67	и уже	3	3
68	связи с	3	3
69	отношения к	2	3
70	между тем	5	3
71	не мог	2	3
72	в нашей	2	2
73	но как	2	2
74	к этому	3	2
75	отношение к	2	2
76	на первый	2	2
77	тем что	3	2
78	человека в	3	2
79	том же	2	2
80	что он	4	2
81	в мире	2	2
82	в него	2	2
83	в своих	4	2
84	и он	2	2
85	место в	2	2
86	о чем	2	2
87	человека с	2	2
88	не было	5	2
89	но это	2	2
90	в своей	2	2
91	в связи	3	2
92	он не	3	2
93	с ним	4	2
