N	3gram	Bakhtin_Pr	TeoriaLi
1	в том что	3	10
2	по отношению к	19	10
3	в то же	3	8
4	то же время	3	8
5	в отличие от	5	7
6	в конечном счете	4	6
7	с другой стороны	4	6
8	того или иного	2	6
9	в данном случае	4	5
10	для того чтобы	2	5
11	не может быть	11	5
12	с точки зрения	6	3
13	с одной стороны	3	3
14	в этом смысле	3	3
15	тем не менее	3	3
16	той или иной	2	3
17	можно сказать что	2	3
18	то ни было	2	2
19	бы то ни	3	2
20	коем случае не	2	2
21	в коем случае	2	2
22	в противном случае	3	2
23	в самом деле	3	2
24	мы имеем дело	2	2
25	и тем самым	2	2
26	и в то	2	2
27	в эстетический объект	12	2
28	ни в коем	2	2
29	в основе своей	3	2
30	не могут быть	2	2
