N	2gram	Tiupa_Lite	Hudozhes
1	в качестве	21	31
2	то есть	11	26
3	в мире	9	24
4	и в	26	23
5	не только	29	20
6	состоит в	18	20
7	в том	22	20
8	может быть	24	19
9	при этом	23	19
10	в частности	18	18
11	художественной деятельности	9	17
12	и не	19	16
13	тогда как	20	15
14	но и	25	14
15	в рамках	9	13
16	литературного произведения	4	13
17	а в	5	13
18	в себе	8	13
19	я в	12	13
20	но не	8	13
21	в тексте	9	13
22	а не	28	13
23	произведение искусства	8	12
24	то же	13	12
25	такого рода	18	12
26	в этом	19	12
27	и его	7	12
28	так и	7	12
29	эстетического отношения	2	11
30	как бы	8	11
31	точки зрения	8	11
32	представляет собой	5	11
33	в его	9	11
34	сводится к	4	11
35	но в	5	10
36	по отношению	6	10
37	отношению к	4	10
38	художественной культуры	12	9
39	не в	11	9
40	в душе	3	9
41	или иной	3	9
42	том что	19	9
43	коммуникативного события	8	9
44	художественного письма	11	9
45	не может	10	9
46	с другой	11	9
47	не сводится	3	9
48	своего рода	22	9
49	в искусстве	4	9
50	особого рода	3	8
51	в то	12	8
52	в миропорядке	2	8
53	себя в	7	8
54	в принципе	7	8
55	в области	5	8
56	парадигмы художественности	9	8
57	в самом	4	7
58	и т.п	14	7
59	по своей	3	7
60	я и	10	7
61	лишь в	4	7
62	в своей	5	7
63	только в	8	7
64	же время	12	7
65	как это	9	7
66	что в	7	7
67	отличие от	6	7
68	в отличие	6	7
69	в основе	5	7
70	не столько	8	7
71	внутреннего я	2	6
72	всего лишь	7	6
73	мы имеем	2	6
74	искусства в	2	6
75	уже не	9	6
76	другой стороны	5	6
77	приводит к	4	6
78	а также	5	6
79	в нем	4	6
80	с ее	3	6
81	художественного творчества	3	6
82	с его	5	6
83	тем самым	8	5
84	или иначе	9	5
85	картина мира	2	5
86	самим собой	2	5
87	конечном счете	8	5
88	могут быть	4	5
89	в конечном	9	5
90	я есть	2	5
91	в художественном	6	5
92	и одновременно	2	5
93	как к	4	5
94	лирический герой	14	5
95	хх века	12	5
96	иначе говоря	2	5
97	для того	2	5
98	в виду	4	5
99	в ходе	2	5
100	со стороны	6	5
101	в их	3	5
102	не является	3	5
103	героя и	2	5
104	что он	8	5
105	не на	2	5
106	то что	14	5
107	не менее	11	5
108	прежде всего	14	5
109	художественного сознания	3	5
110	говоря словами	3	5
111	того что	7	5
112	мыслится как	5	5
113	для него	6	5
114	в слове	3	4
115	личности в	4	4
116	и то	3	4
117	в отношении	2	4
118	эстетического объекта	7	4
119	его в	4	4
120	художественного впечатления	2	4
121	далеко не	4	4
122	это не	4	4
123	для себя	6	4
124	а только	2	4
125	так в	6	4
126	к тому	3	4
127	эстетический объект	3	4
128	для читателя	2	4
129	на почве	2	4
130	как эстетической	2	4
131	воспринимающего сознания	2	4
132	между тем	2	4
133	в данном	7	4
134	и т.д	8	4
135	во втором	3	4
136	жизни как	3	4
137	в другом	3	4
138	деятельности в	4	4
139	не знает	3	4
140	однако в	7	4
141	произведения искусства	4	4
142	в силу	4	4
143	и как	2	4
144	еще не	4	4
145	эстетических отношений	2	4
146	и тем	4	4
147	и что	2	4
148	факторов художественного	2	4
149	силу своей	3	4
150	сознания в	14	4
151	в этих	2	4
152	на смену	6	4
153	он не	4	4
154	уединенного сознания	55	4
155	например в	3	4
156	в себя	5	4
157	в своем	12	4
158	со своей	3	4
159	так или	8	4
160	даже в	6	3
161	в художественной	4	3
162	объекта и	2	3
163	от себя	2	3
164	направленной на	3	3
165	в жизни	7	3
166	читателя зрителя	5	3
167	искусства и	6	3
168	как уже	3	3
169	коммуникативных стратегий	2	3
170	не случайно	5	3
171	произведения как	2	3
172	искусства это	2	3
173	текст как	2	3
174	как совокупность	3	3
175	в роли	3	3
176	читателя в	2	3
177	как и	13	3
178	зрителя слушателя	4	3
179	того же	5	3
180	культуры в	5	3
181	потому что	5	3
182	виду не	2	3
183	одной стороны	8	3
184	по преимуществу	6	3
185	слова в	2	3
186	в русской	13	3
187	том числе	2	3
188	в целом	10	3
189	художественности состоит	2	3
190	текста как	2	3
191	в противоположность	2	3
192	являет собой	2	3
193	воспринимающее сознание	2	3
194	в свою	2	3
195	работа с	4	3
196	искусства как	2	3
197	во всех	4	3
198	эстетического субъекта	12	3
199	критерием художественности	3	3
200	о литературе	2	3
201	художественной культуре	2	3
202	общения людей	2	3
203	тем не	4	3
204	в культуре	5	3
205	субъекта и	3	3
206	из этих	2	3
207	новой парадигмы	2	3
208	связи с	7	3
209	и на	5	3
210	тому как	4	3
211	парадигма художественности	5	3
212	и прежде	4	3
213	другого в	4	3
214	знаковом материале	2	3
215	в стихотворении	17	3
216	как раз	6	3
217	с точки	4	3
218	и адресата	4	3
219	и того	2	3
220	художественного мышления	3	3
221	подобно тому	4	3
222	природы искусства	4	3
223	художественное произведение	2	3
224	в знаковом	2	3
225	себя и	3	3
226	отношение автор	3	3
227	несет в	2	3
228	с этой	6	3
229	в связи	4	3
230	таким образом	4	3
231	и сам	6	3
232	как правило	5	3
233	отношении к	2	3
234	в пределах	4	3
235	в одном	2	3
236	художественного целого	3	3
237	с одной	9	3
238	перед лицом	2	3
239	субъект художественной	3	3
240	человеческого я	3	3
241	системе ценностей	2	3
242	определяющим отношением	3	3
243	и состоит	2	3
244	никогда не	5	2
245	с легкой	2	2
246	самим собою	2	2
247	по характеристике	4	2
248	творческий акт	2	2
249	о том	3	2
250	окружающей его	2	2
251	одной из	2	2
252	для понимания	2	2
253	в литературе	2	2
254	одна из	8	2
255	как в	5	2
256	я на	3	2
257	чтобы не	2	2
258	с.с аверинцева	2	2
259	и др	4	2
260	художественности как	3	2
261	всей своей	2	2
262	одно из	3	2
263	от имени	2	2
264	право на	4	2
265	субъекта жизни	2	2
266	классицизма в	2	2
267	от всех	2	2
268	а для	3	2
269	полагал что	2	2
270	коммуникативное событие	6	2
271	то в	3	2
272	при всем	4	2
273	авторский текст	2	2
274	оттесняет на	2	2
275	идет о	4	2
276	могло быть	2	2
277	еще и	3	2
278	столь же	5	2
279	в чем	2	2
280	нас самих	2	2
281	что такое	2	2
282	существования в	2	2
283	в творческом	2	2
284	со временем	2	2
285	художественного мира	3	2
286	жизни на	3	2
287	жизни в	5	2
288	но как	3	2
289	все эти	2	2
290	этого текста	3	2
291	чужого я	2	2
292	тем более	2	2
293	легкой руки	2	2
294	деятельность мыслится	3	2
295	или иную	2	2
296	адресата а	2	2
297	о себе	7	2
298	человека и	2	2
299	своей внутренней	2	2
300	ни был	2	2
301	героя как	2	2
302	или иных	2	2
303	с их	3	2
304	должен быть	2	2
305	за пределы	3	2
306	дело не	2	2
307	однако с	2	2
308	этой точки	3	2
309	не как	4	2
310	личности с	2	2
311	императиву мастерства	2	2
312	рефлективного традиционализма	6	2
313	могут служить	2	2
314	во мне	2	2
315	из тех	2	2
316	свою очередь	2	2
317	войне и	2	2
318	из которых	3	2
319	эстетического адресата	2	2
320	он и	5	2
321	я не	8	2
322	в итоге	2	2
323	тех или	2	2
324	отнюдь не	4	2
325	один из	7	2
326	на свою	3	2
327	начинает восприниматься	2	2
328	которая не	2	2
329	мышления и	3	2
330	художественные тексты	2	2
331	восприниматься как	2	2
332	речь идет	3	2
333	не могло	3	2
334	несмотря на	3	2
335	с чем	3	2
336	классического реализма	3	2
337	лирического героя	4	2
338	ведет к	5	2
339	и рецептивного	2	2
340	на воспринимающее	2	2
341	совокупность факторов	2	2
342	роль в	2	2
