N	2gram	Voloshinov	NovoeSre
1	а не	7	17
2	и в	42	16
3	не может	13	16
4	и не	14	11
5	жизни и	3	8
6	как не	2	8
7	в том	3	8
8	он не	2	8
9	не будет	3	7
10	может быть	13	7
11	как и	12	7
12	в этом	10	7
13	никогда не	7	6
14	лишь в	4	6
15	не в	6	6
16	общественной жизни	10	6
17	не знает	3	6
18	но это	2	6
19	с его	8	6
20	не только	28	5
21	в жизни	2	5
22	должен быть	2	5
23	все это	4	5
24	в нем	6	5
25	в ней	8	5
26	и к	4	5
27	должно быть	2	4
28	по своему	3	4
29	со всех	2	4
30	и для	3	4
31	прежде всего	22	4
32	не было	2	4
33	и потому	2	4
34	то что	9	4
35	о том	4	4
36	это не	3	4
37	потому что	7	4
38	и все	4	4
39	быть может	3	4
40	в мире	2	3
41	но и	16	3
42	в ее	3	3
43	к тому	4	3
44	и пр	4	3
45	что такое	4	3
46	в своей	2	3
47	еще не	3	3
48	человека и	2	3
49	перейти к	2	3
50	как в	3	3
51	конечно не	3	3
52	не есть	2	3
53	сказать что	3	3
54	во всех	6	3
55	вопрос о	2	3
56	не существует	4	3
57	в основе	3	3
58	с тем	8	3
59	зависит от	2	2
60	в себе	10	2
61	и с	5	2
62	для этого	2	2
63	себя в	4	2
64	но не	2	2
65	нет и	3	2
66	и т.п	25	2
67	и от	7	2
68	общества и	3	2
69	роль в	3	2
70	того чтобы	7	2
71	и это	8	2
72	хотя бы	18	2
73	не будут	2	2
74	когда мы	6	2
75	а в	5	2
76	все время	5	2
77	но в	5	2
78	том что	3	2
79	в обществе	4	2
80	не к	4	2
81	и на	7	2
82	с этим	2	2
83	бытия в	2	2
84	все эти	3	2
85	в будущем	3	2
86	мы не	9	2
87	можно было	4	2
88	связаны с	4	2
89	времени и	2	2
90	равно как	2	2
91	уже не	4	2
92	как это	5	2
93	так же	4	2
94	так и	7	2
95	ни к	2	2
96	помнить что	2	2
97	но для	3	2
98	в то	9	2
99	хотя и	3	2
100	должно было	3	2
101	место в	2	2
102	и даже	3	2
103	ведь и	2	2
104	вместе с	5	2
