N	2gram	Propp_Russ	formyVre
1	и в	59	148
2	в этом	18	73
3	то есть	3	70
4	в нем	3	51
5	прежде всего	2	46
6	и т	13	40
7	и не	6	37
8	в его	3	36
9	и его	2	36
10	но и	20	33
11	то же	6	32
12	не только	28	32
13	но в	5	31
14	так и	8	29
15	может быть	14	27
16	не в	2	26
17	как мы	11	26
18	как и	19	25
19	как бы	18	25
20	мы уже	2	24
21	точки зрения	3	24
22	в то	3	23
23	только в	4	23
24	то что	10	22
25	в том	33	22
26	все эти	5	21
27	связи с	6	21
28	во всех	6	21
29	в основном	4	19
30	в своем	3	19
31	и др	4	19
32	и для	3	19
33	и на	14	19
34	у него	2	18
35	и все	4	18
36	по существу	7	18
37	еще не	7	18
38	таким образом	10	18
39	с этим	4	17
40	при этом	11	17
41	так как	25	17
42	в особенности	3	17
43	в пределах	2	17
44	все же	7	16
45	и во	2	16
46	в связи	4	16
47	не может	6	16
48	и их	4	16
49	в разных	3	15
50	в них	10	15
51	в дальнейшем	2	15
52	в одном	4	15
53	с точки	3	15
54	вместе с	16	15
55	так же	7	14
56	все это	12	14
57	всех этих	2	14
58	и как	2	14
59	и с	12	14
60	а не	3	14
61	в их	5	13
62	в частности	2	13
63	а в	16	13
64	того чтобы	6	13
65	же в	5	13
66	во время	23	13
67	для того	6	13
68	как в	10	13
69	в котором	2	13
70	с ним	2	13
71	ничего не	4	12
72	отнюдь не	3	12
73	значение и	2	12
74	не было	3	12
75	и до	3	12
76	и наконец	2	12
77	но не	7	12
78	потому что	15	12
79	это время	4	12
80	что в	35	12
81	его в	9	11
82	и у	5	11
83	в образе	3	11
84	в ней	3	11
85	смерти в	2	11
86	хотя и	3	11
87	из них	12	11
88	уже в	2	11
89	влияние на	3	10
90	в ряд	2	10
91	тот же	2	10
92	кроме того	3	10
93	и другие	24	10
94	входит в	4	10
95	уже не	9	10
96	в большинстве	2	10
97	могут быть	3	9
98	и других	9	9
99	на этой	3	9
100	в других	24	9
101	и следовательно	2	9
102	жизнь и	2	9
103	том что	33	9
104	должно быть	2	9
105	та же	4	9
106	и это	2	9
107	но все	3	9
108	есть в	2	9
109	их в	7	9
110	оно не	2	9
111	до конца	5	8
112	это не	14	8
113	и потому	3	8
114	этого времени	2	8
115	к тому	4	8
116	в целом	2	8
117	большинстве случаев	2	8
118	один из	10	8
119	что и	8	8
120	здесь мы	3	8
121	и то	2	8
122	а также	6	8
123	но эти	3	8
124	в этот	19	8
125	и по	10	8
126	в этих	3	8
127	в жизни	2	8
128	значение в	2	8
129	связанные с	5	8
130	и к	3	8
131	в некоторых	11	8
132	в виду	3	8
133	связанных с	2	7
134	за счет	2	7
135	том же	6	7
136	у них	2	7
137	отличие от	4	7
138	того что	6	7
139	между собой	4	7
140	место в	2	7
141	было бы	3	7
142	себя и	2	7
143	например в	3	7
144	имеет место	3	7
145	к этому	7	7
146	из этих	6	7
147	в которой	3	7
148	т д	12	7
149	ее в	7	7
150	к ним	4	7
151	в отличие	4	7
152	то время	3	7
153	в форме	3	7
154	но он	3	7
155	смерти и	3	6
156	и ее	3	6
157	есть и	2	6
158	но эта	2	6
159	с тем	14	6
160	ту же	2	6
161	между двумя	2	6
162	мы видим	2	6
163	в качестве	5	6
164	во всей	2	6
165	мы не	11	6
166	мы можем	2	6
167	на первый	3	6
168	не является	2	6
169	только для	3	6
170	о том	14	6
171	именно в	3	6
172	все что	2	6
173	в которых	8	6
174	в таком	5	6
175	в различных	3	6
176	не оставляет	2	6
177	следовательно и	2	5
178	о чем	7	5
179	и через	2	5
180	он должен	2	5
181	только на	4	5
182	так что	4	5
183	одно из	6	5
184	от этого	2	5
185	в него	2	5
186	с другими	3	5
187	что все	2	5
188	там где	3	5
189	не были	2	5
190	с ними	6	5
191	не на	2	5
192	что они	8	5
193	в этой	4	5
194	и от	2	5
195	мы имеем	7	5
196	в это	4	5
197	об этом	11	5
198	со смехом	2	5
199	тем что	7	5
200	с этой	2	5
201	чаще всего	3	5
202	но они	4	5
203	не имеет	9	5
204	далеко не	5	5
205	или в	7	5
206	перед нами	2	4
207	так в	5	4
208	мы должны	3	4
209	чтобы они	4	4
210	их к	2	4
211	не был	3	4
212	друг друга	3	4
213	и при	2	4
214	что он	2	4
