N	2gram	Vinokur_Ku	Freidism
1	и не	23	34
2	таким образом	17	34
3	точки зрения	25	31
4	не может	13	30
5	и пр	23	29
6	может быть	25	28
7	и в	44	28
8	в этом	31	28
9	прежде всего	14	26
10	в его	16	25
11	и его	8	22
12	мы можем	2	20
13	с помощью	12	20
14	как бы	11	19
15	как мы	2	18
16	то что	14	17
17	вовсе не	18	16
18	так как	16	15
19	с точки	16	15
20	все эти	17	15
21	самом деле	17	14
22	так и	10	14
23	в своей	4	14
24	с ним	5	14
25	и все	4	13
26	но в	11	13
27	как и	3	13
28	по отношению	9	13
29	точку зрения	2	12
30	и потому	6	12
31	том что	30	12
32	то же	12	12
33	что он	7	12
34	мы видели	3	12
35	ни в	3	12
36	в самом	20	12
37	для него	2	12
38	все это	10	12
39	сказать что	5	11
40	отношению к	9	11
41	мы знаем	3	11
42	только в	15	11
43	никогда не	2	10
44	и с	11	10
45	все те	3	10
46	не только	29	10
47	но и	13	10
48	не в	18	10
49	он не	4	10
50	в том	47	10
51	один из	8	10
52	что же	11	10
53	тот же	7	10
54	конечно не	3	10
55	мы должны	2	9
56	могут быть	5	9
57	к этому	4	9
58	совершенно не	4	9
59	в чем	2	9
60	уже не	13	9
61	и на	8	9
62	а не	17	9
63	во всяком	8	9
64	с его	4	9
65	все же	17	8
66	с этим	6	8
67	было бы	28	8
68	и вот	4	8
69	еще не	10	8
70	а в	7	8
71	знаем что	3	8
72	в ней	6	8
73	на этом	4	8
74	всяком случае	8	8
75	при этом	6	8
76	в каком	6	7
77	так сказать	5	7
78	не могут	5	7
79	до конца	3	7
80	в то	4	7
81	в себе	4	7
82	что в	25	7
83	хотя бы	19	7
84	и для	3	7
85	отношение к	2	7
86	роль в	6	7
87	не является	2	7
88	того что	11	7
89	и у	3	7
90	но не	11	7
91	что все	6	7
92	более того	2	7
93	об этом	4	7
94	в нем	7	7
95	если мы	5	7
96	из них	4	7
97	в этой	8	7
98	одно из	3	6
99	на самом	3	6
100	для этого	6	6
101	мы имеем	11	6
102	из этих	5	6
103	всех этих	4	6
104	не менее	12	6
105	для того	23	6
106	в таком	3	6
107	и только	2	6
108	и о	3	6
109	в пределах	8	6
110	к тому	8	6
111	что такое	8	6
112	можно сказать	6	6
113	в свою	4	6
114	большинстве случаев	3	6
115	как раз	10	6
116	и что	11	6
117	же время	4	6
118	учение о	4	6
119	по поводу	2	5
120	что это	11	5
121	ничего не	6	5
122	со стороны	8	5
123	тех же	2	5
124	что она	5	5
125	с их	3	5
126	в которой	7	5
127	и по	4	5
128	от того	5	5
129	между ними	2	5
130	в этих	5	5
131	как это	6	5
132	не знает	4	5
133	увидим что	2	5
134	первый период	2	5
135	конечно и	3	5
136	что и	5	5
137	ее в	2	5
138	тому что	3	5
139	в общем	4	5
140	в более	2	5
141	далеко не	2	5
142	в своих	2	5
143	в большинстве	3	5
144	только то	2	5
145	это не	13	5
146	той же	5	5
147	отнюдь не	5	5
148	того чтобы	25	5
149	не было	6	5
150	в ее	2	5
151	с ними	6	5
152	говорить о	5	5
153	заключается в	3	5
154	в себя	2	5
155	вместе с	8	5
156	данном случае	2	4
157	в таких	7	4
158	характер и	2	4
159	его к	5	4
160	так же	8	4
161	нисколько не	6	4
162	но это	4	4
163	в области	15	4
164	в собственном	2	4
165	связанных с	2	4
166	в другом	2	4
167	тем не	10	4
168	этом отношении	8	4
169	если бы	21	4
170	и может	3	4
171	мы увидим	3	4
172	в первый	2	4
173	в виду	7	4
174	это только	5	4
175	не всегда	4	4
176	но ведь	3	4
177	ничего общего	2	4
178	этой области	3	4
179	свою очередь	4	4
180	это как	2	4
181	в последнем	2	4
182	у него	3	4
183	как в	6	4
184	в своем	4	4
185	борьбы с	2	4
186	а только	10	4
187	в котором	4	4
188	связанные с	3	4
189	потому что	40	4
190	именно в	7	4
191	как с	2	4
192	а потому	6	4
193	этот вопрос	7	4
194	что оно	6	4
195	выражение в	4	4
196	главным образом	3	4
197	мы находим	2	4
198	смысле слова	3	4
199	по себе	10	4
200	в целом	5	4
201	зависимости от	9	4
202	должны быть	4	4
203	только как	3	4
204	в зависимости	7	4
205	то ни	2	4
206	это и	6	4
207	в истории	3	4
208	в данном	8	4
209	слова и	8	4
210	в узком	3	4
211	на язык	4	4
212	я не	5	4
213	сводится к	3	4
214	и то	7	3
215	и от	2	3
216	в силах	2	3
217	тому чтобы	2	3
218	нуждается в	5	3
219	такие же	2	3
220	конечном счете	2	3
221	в результате	8	3
222	к себе	4	3
223	и даже	5	3
224	тем же	2	3
225	и как	3	3
226	как не	4	3
227	на все	3	3
228	социального общения	3	3
229	одним из	2	3
230	и при	3	3
231	у нас	19	3
232	этого не	5	3
233	связано с	3	3
234	как на	4	3
235	чаще всего	2	3
236	себе и	3	3
237	сих пор	5	3
238	в какой	7	3
239	в искусстве	2	3
240	узком смысле	2	3
241	ведь и	2	3
242	и следовательно	2	3
243	мы в	3	3
244	на этот	4	3
245	не так	2	3
246	и является	4	3
247	на этой	4	3
248	в г	3	3
249	о том	10	3
250	они не	4	3
251	в совершенно	2	3
252	того же	6	3
253	на почве	2	3
254	в конечном	3	3
255	оно не	5	3
256	и социальной	2	3
257	на себя	3	3
258	но для	4	3
259	ответ на	2	3
260	приводит к	3	3
261	и становится	3	3
262	в одном	4	3
263	же касается	4	3
264	целом и	2	3
265	что мы	6	3
266	в них	10	3
267	можно ли	6	3
268	уже в	5	3
269	на это	3	3
270	действительно ли	2	3
271	для них	2	3
272	находится в	2	3
273	когда он	4	3
274	и есть	3	3
275	а следовательно	2	3
276	под влиянием	3	3
277	не приходится	2	3
278	в нашем	8	3
279	до сих	5	3
280	во втором	2	3
281	между тем	11	3
282	на основе	2	3
283	да и	5	2
284	в широком	2	2
285	для самого	3	2
286	в отношении	2	2
287	роли в	3	2
288	вопрос о	11	2
289	к этой	3	2
290	нет в	2	2
291	следовательно и	2	2
292	о которых	2	2
293	или иной	3	2
294	когда мы	3	2
295	с первого	2	2
296	а также	3	2
297	которую можно	2	2
298	же остается	2	2
299	ли это	4	2
300	содержание и	5	2
301	время в	2	2
302	таких случаях	3	2
303	по преимуществу	3	2
304	по пути	2	2
305	бы и	6	2
306	дело в	2	2
307	в состоянии	2	2
308	должно быть	6	2
309	пр и	2	2
310	бы в	8	2
311	превращается в	4	2
312	дело не	4	2
313	это было	2	2
314	не как	2	2
315	в науке	4	2
316	большое значение	2	2
317	отличается от	2	2
318	фактов и	2	2
319	с официальной	3	2
320	в отличие	3	2
321	в конце	5	2
322	и мысли	2	2
323	как к	2	2
324	то мы	4	2
325	или же	3	2
326	если его	2	2
327	должен быть	8	2
328	чтобы получить	2	2
329	в следующем	2	2
330	однако и	2	2
331	пишет он	4	2
332	а на	3	2
333	конце концов	3	2
