N	2gram	Kanaev_Sov	Myshleni
1	в том	4	195
2	в этом	7	167
3	и в	7	162
4	в развитии	4	151
5	таким образом	11	147
6	точки зрения	12	143
7	с помощью	4	131
8	что в	2	119
9	не только	4	116
10	может быть	12	89
11	с точки	5	89
12	не может	17	81
13	как и	6	79
14	так как	4	78
15	и не	6	78
16	в целом	4	74
17	как мы	2	72
18	в его	2	67
19	как бы	4	64
20	вместе с	4	62
21	и что	2	60
22	было бы	3	60
23	то же	3	58
24	между собой	3	53
25	в самом	2	52
26	мы должны	4	50
27	мы можем	6	48
28	мы не	9	47
29	с одной	2	39
30	в области	3	38
31	мы видели	4	38
32	вопрос о	4	37
33	не в	3	37
34	если мы	4	37
35	в этой	3	37
36	и к	3	37
37	мы видим	2	37
38	с самого	3	36
39	все эти	5	36
40	самого начала	3	36
41	а не	3	36
42	друг с	2	35
43	с другом	2	35
44	в которой	2	35
45	в себе	3	35
46	и т.д	3	35
47	приводит к	2	34
48	при этом	3	33
49	прежде всего	5	33
50	же самое	2	32
51	но в	3	32
52	той же	2	32
53	развития в	2	31
54	все же	3	31
55	могут быть	2	29
56	как известно	2	29
57	с этим	2	28
58	самом деле	2	28
59	что все	2	27
60	в результате	6	27
61	что это	2	26
62	все это	3	25
63	еще не	3	25
64	уже в	3	25
65	что она	3	25
66	это не	4	25
67	мы знаем	2	24
68	тот же	2	24
69	в нем	3	24
70	зависимости от	4	24
71	на этот	2	24
72	как он	3	23
73	во всяком	2	22
74	в зависимости	4	22
75	не могут	2	22
76	в нашем	2	21
77	и все	3	21
78	а в	4	20
79	из них	4	20
80	на этом	2	20
81	не менее	2	20
82	из этих	2	20
83	в наших	3	20
84	но мы	3	19
85	из которых	2	19
86	и по	2	19
87	отличие от	2	18
88	для развития	2	18
89	всяком случае	2	18
90	в отличие	2	18
91	в свою	2	17
92	в одном	3	17
93	то и	2	17
94	и есть	2	17
95	их в	4	17
96	тем же	2	17
97	у него	2	17
98	на этой	3	16
99	значение в	2	16
100	для нас	3	16
101	такой же	2	16
102	и даже	2	16
103	видели что	3	16
104	со всеми	2	15
105	что при	2	15
106	отличается от	3	15
107	ничего не	6	15
108	он должен	2	14
109	точку зрения	4	14
110	и во	2	14
111	когда мы	3	14
112	свою очередь	2	14
113	не можем	7	14
114	этих двух	2	14
115	на его	2	13
116	но все	2	13
117	в виде	2	13
118	отнюдь не	3	13
119	и потому	3	12
120	в первом	3	12
121	тем не	2	12
122	еще более	2	12
123	ясно что	3	12
124	в конце	3	11
125	на котором	2	11
126	в один	2	11
127	и наконец	5	11
128	он в	3	11
129	у нас	3	10
130	что такое	2	10
131	или иной	2	10
132	с необходимостью	3	10
133	мы называем	3	10
134	помощью которых	2	10
135	поэтому мы	3	9
136	такого рода	2	9
137	он может	3	9
138	совершенно не	2	9
139	в системе	3	9
140	системы в	4	9
141	развития но	2	9
142	может не	3	9
143	что же	5	9
144	этой стадии	2	9
145	говорить о	2	9
146	из двух	3	8
147	его развития	3	8
148	в живом	2	7
149	развития мы	2	7
150	которой он	2	7
151	в таком	2	7
152	следующим образом	3	7
153	знаем что	2	7
154	в каждом	8	6
155	только один	2	6
156	для его	2	6
157	роль в	2	6
158	уже не	2	6
159	в условиях	5	6
160	одна из	3	6
161	нет и	4	6
162	и мы	3	6
163	ли оно	2	6
164	к чему	2	6
165	на их	2	5
166	не дает	2	5
167	ее на	2	5
168	может иметь	2	5
169	на две	3	5
170	по мнению	2	5
171	свою собственную	2	5
172	все те	2	5
173	в дальнейшем	4	4
174	так сказать	2	4
175	не подлежит	3	4
176	основной вопрос	3	4
177	она может	2	4
178	с совершенно	2	4
179	конце развития	2	4
180	жизни и	4	4
181	в некоторых	2	4
182	в новых	2	4
183	же мы	2	3
184	говорим о	2	3
185	при таком	3	3
186	представлять себе	2	3
187	же это	4	3
188	такие же	2	3
189	самый вопрос	2	3
190	некоторое время	2	3
191	мы с	2	3
192	все процессы	2	3
193	не знаем	2	3
194	если же	2	3
195	и именно	2	3
196	в настоящее	2	3
197	ведь это	3	3
198	и будет	2	3
199	настоящее время	2	3
200	ли мы	3	3
201	конечно в	2	3
202	то ни	2	3
203	и пр	2	3
204	о значении	2	3
205	условиях развития	2	2
206	состоит из	3	2
207	ни одна	2	2
208	к действию	3	2
209	и они	2	2
210	в которую	2	2
211	так называемых	3	2
212	каждая из	2	2
213	тот или	2	2
214	научного исследования	2	2
215	дает нам	2	2
216	каждого из	2	2
217	из одного	2	2
218	этим мы	3	2
219	мы получаем	3	2
220	экспериментальном материале	3	2
221	а все	3	2
222	наконец не	2	2
223	результаты своих	2	2
224	можно назвать	2	2
225	может дать	2	2
