N	2gram	Tiupa_Narr	VrazhdaK
1	не только	32	9
2	в этом	17	8
3	и в	19	8
4	что в	3	7
5	но и	23	7
6	и все	2	7
7	то что	11	7
8	но в	6	6
9	как и	7	6
10	в нем	4	6
11	и с	4	6
12	о нем	4	6
13	все же	7	6
14	и даже	3	6
15	и не	20	5
16	не было	2	5
17	то же	4	5
18	в то	3	5
19	же время	4	5
20	у него	4	5
21	между тем	3	5
22	уже в	3	4
23	несмотря на	2	4
24	это не	2	4
25	при этом	9	4
26	о том	6	4
27	в ней	3	4
28	как бы	4	4
29	так же	2	4
30	что он	6	4
31	может быть	25	4
32	человека в	2	3
33	в том	18	3
34	одним из	2	3
35	его в	2	3
36	далеко не	5	3
37	что у	2	3
38	в своем	2	3
39	том что	14	3
40	в его	9	3
41	матери и	4	3
42	в связи	2	3
43	и его	5	3
44	и как	5	3
45	он не	3	3
46	речь идет	4	3
47	связи с	4	3
48	наряду с	2	3
49	с его	6	3
50	тем что	3	3
51	никогда не	3	2
52	же не	4	2
53	уже не	5	2
54	в мире	9	2
55	одна из	3	2
56	и т.п	8	2
57	в той	6	2
58	для него	2	2
59	на первый	2	2
60	с точки	2	2
61	а в	11	2
62	а также	7	2
63	он сам	2	2
64	в этой	5	2
65	тогда как	12	2
66	столь же	3	2
67	как раз	2	2
68	же в	4	2
69	но как	2	2
70	и он	3	2
71	в себе	8	2
72	еще не	7	2
73	точки зрения	10	2
74	о чем	2	2
75	же как	3	2
76	тем более	2	2
77	и ее	2	2
78	отношения к	2	2
79	в свою	3	2
80	после смерти	2	2
81	не может	10	2
82	из них	3	2
83	не менее	3	2
84	к себе	5	2
85	за границей	4	2
86	отнюдь не	5	2
87	а с	3	2
88	не мог	4	2
89	в известном	2	2
90	отношение к	2	2
