N	3gram	Ircho_Kome	VLabPisa
1	и т д	4	16
2	в этом отношении	3	14
3	и т п	7	9
4	с другой стороны	6	8
5	по отношению к	5	7
6	в то же	5	5
7	в том что	13	5
8	то же время	5	5
9	вместе с тем	4	4
10	в одном из	4	4
11	в силу этого	3	4
12	к тому что	3	4
13	в связи с	3	4
14	для того чтобы	3	3
15	в этой области	2	3
16	о том что	6	3
17	в конце концов	4	2
18	с одной стороны	5	2
19	в частности в	2	2
20	во всяком случае	4	2
21	в том числе	4	2
22	т е в	2	2
23	чуть ли не	2	2
24	до сих пор	3	2
25	таким образом в	2	2
26	после того как	3	2
27	можно было бы	3	2
