N	2gram	Bakhtin_fo	Formalny
1	и в	84	95
2	и не	19	78
3	может быть	18	66
4	в этом	41	61
5	не может	8	57
6	и пр	2	53
7	вовсе не	20	53
8	таким образом	14	52
9	и его	26	51
10	так и	17	50
11	точки зрения	14	47
12	в нем	28	42
13	в его	19	42
14	прежде всего	28	41
15	с точки	9	40
16	как и	15	39
17	и т	21	37
18	не в	10	35
19	в самом	9	35
20	в процессе	4	34
21	а не	7	34
22	но и	14	33
23	то же	18	32
24	самом деле	2	32
25	не только	16	30
26	в пределах	8	28
27	в том	16	26
28	отнюдь не	7	26
29	если бы	6	26
30	то что	13	25
31	при этом	8	24
32	в своей	2	24
33	лишь в	8	24
34	на почве	2	24
35	в ней	4	23
36	связи с	14	23
37	было бы	2	23
38	с помощью	5	23
39	в то	13	22
40	и ее	4	22
41	в истории	6	21
42	как бы	11	21
43	что в	9	21
44	и с	10	21
45	в их	9	20
46	между ними	5	20
47	и от	3	20
48	с тем	5	20
49	входит в	3	20
50	как мы	19	20
51	же время	13	20
52	место в	4	20
53	не могут	4	19
54	все это	10	19
55	хотя бы	2	19
56	т д	3	19
57	по себе	3	19
58	т п	18	18
59	все же	12	18
60	и все	10	18
61	все эти	12	18
62	в связи	13	18
63	с его	10	18
64	и их	11	18
65	только в	12	18
66	более того	4	17
67	именно как	4	17
68	как в	10	17
69	как раз	13	17
70	так же	7	16
71	во всяком	5	16
72	совершенно не	3	16
73	с другой	4	16
74	потому что	11	16
75	его в	8	15
76	но в	16	15
77	в поэзии	2	15
78	с другими	3	15
79	так как	12	15
80	должно быть	6	15
81	во всех	13	15
82	в литературе	17	15
83	именно в	5	15
84	и на	13	15
85	что он	2	14
86	только на	3	14
87	в целом	2	14
88	в ее	6	14
89	в своем	8	14
90	еще не	8	14
91	в жизни	6	14
92	в этой	3	14
93	если мы	2	14
94	и потому	4	14
95	жизни и	12	14
96	вместе с	9	14
97	до конца	5	13
98	того что	5	13
99	а в	6	13
100	могут быть	7	13
101	для них	3	13
102	что и	5	13
103	в результате	6	13
104	она не	2	13
105	тем что	4	13
106	ни в	9	13
107	как его	3	13
108	по отношению	3	12
109	как это	2	12
110	того чтобы	11	12
111	лишь как	3	12
112	там где	4	12
