N	3gram	Vinokur_Vv	FransuaR
1	в то же	6	55
2	то же время	6	55
3	как мы уже	2	28
4	до сих пор	7	27
5	в том что	15	27
6	в этом отношении	4	20
7	но в то	3	20
8	с точки зрения	4	20
9	для того чтобы	22	17
10	о том что	13	17
11	как мы видели	3	16
12	в связи с	2	16
13	большей или меньшей	3	16
14	не может быть	10	13
15	дело в том	3	13
16	с одной стороны	4	13
17	в известной мере	2	12
18	а также и	2	12
19	в другом месте	2	12
20	с другой стороны	5	12
21	можно сказать что	3	11
22	в отличие от	4	11
23	той или иной	3	10
24	в конце концов	2	10
25	в данном случае	4	10
26	до наших дней	2	10
27	не только в	4	10
28	по отношению к	4	9
29	в свое время	3	9
30	после того как	2	8
31	в чем же	3	7
32	можно было бы	4	7
33	в самом деле	6	7
34	в значительной мере	2	7
35	подобно тому как	2	7
36	и в особенности	4	6
37	но все же	4	6
38	в свою очередь	2	6
39	во всяком случае	5	5
40	то же самое	3	5
41	в первом случае	2	5
42	в применении к	6	5
43	одной стороны и	3	5
44	по сравнению с	4	5
45	потому что он	2	5
46	также и в	3	4
47	в строгом смысле	3	4
48	может быть и	2	4
49	одной и той	2	4
50	и в самом	3	4
51	в собственном смысле	3	4
52	вовсе не в	2	4
53	на этот вопрос	5	4
54	во второй половине	2	4
55	и той же	2	4
56	и то что	3	4
57	можно говорить о	3	3
58	в этом смысле	10	3
59	заключается в том	3	3
60	есть не что	3	3
61	вместе с тем	3	3
62	и в том	4	3
63	что иное как	5	3
64	что в нем	2	3
65	тех или иных	3	3
66	одного и того	2	3
67	не что иное	5	3
68	и того же	2	3
69	и не могут	2	3
70	смысле этого слова	2	3
71	и в этом	4	3
72	в целом ряде	2	3
73	сам по себе	2	2
74	именно в этом	3	2
75	дело не с	2	2
76	не могут быть	2	2
77	в этом случае	6	2
78	но также и	10	2
79	в том или	2	2
80	свое значение и	2	2
81	второй половины xix	2	2
82	мы уже знаем	2	2
83	по этому поводу	3	2
84	может быть в	2	2
85	но дело не	2	2
86	на котором он	2	2
87	том или ином	2	2
88	в известном смысле	3	2
89	в том чтобы	5	2
