N	2gram	Bakhtin_Pr	PoTuStor
1	может быть	26	17
2	и в	38	16
3	и пр	2	12
4	мы можем	6	9
5	и проч	28	9
6	в этом	15	9
7	и только	4	9
8	таким образом	10	9
9	прежде всего	13	9
10	и с	17	8
11	в психике	6	8
12	точки зрения	8	8
13	совершенно не	7	8
14	не может	27	8
15	и его	16	8
16	сказать что	4	7
17	не только	9	7
18	с его	2	7
19	и это	3	6
20	с точки	6	6
21	конечно не	5	6
22	самом деле	6	6
23	и к	3	6
24	при этом	5	6
25	ни в	11	5
26	все эти	5	5
27	как бы	22	5
28	нуждается в	2	5
29	еще не	7	5
30	в чем	2	5
31	в него	2	5
32	отношение к	10	5
33	как мы	7	4
34	и на	3	4
35	все это	3	4
36	на самом	4	4
37	его в	9	4
38	в его	43	4
39	и ее	2	4
40	но и	9	4
41	и не	42	4
42	и все	3	4
43	но в	4	4
44	и наконец	6	4
45	все что	3	4
46	только в	13	4
47	в нем	15	4
48	хотя бы	4	4
49	с ними	4	4
50	можно сказать	2	4
51	так и	5	4
52	отнюдь не	19	4
53	и даже	3	4
54	художественного творчества	12	4
55	едва ли	3	3
56	что в	7	3
57	и художественного	3	3
58	и как	8	3
59	и потому	4	3
60	а в	6	3
61	в том	8	3
62	с другими	3	3
63	между ними	4	3
64	в области	11	3
65	и есть	2	3
66	большинстве случаев	5	3
67	в большинстве	5	3
68	в этих	2	3
69	чем не	2	3
70	в конечном	4	3
71	отношения к	6	3
72	как это	2	3
73	то что	8	3
74	только как	6	3
75	во всех	11	3
76	могут быть	5	3
77	этом смысле	3	3
78	к себе	2	3
79	и др	8	3
80	на этом	2	3
81	и значение	2	3
82	том что	3	3
83	в основе	5	3
84	никогда не	5	2
85	можно определить	2	2
86	почти совершенно	3	2
87	может иметь	5	2
88	на них	3	2
89	в них	5	2
90	определить как	2	2
91	здесь же	2	2
92	не можем	2	2
93	и вообще	2	2
94	и для	11	2
95	и содержание	3	2
96	что не	4	2
97	в область	3	2
98	все то	3	2
99	что это	2	2
100	другими словами	2	2
101	цельного человека	2	2
102	так называемый	2	2
103	вообще не	7	2
104	что и	2	2
105	не менее	4	2
106	на первый	2	2
107	было бы	8	2
108	не могут	2	2
109	и других	2	2
110	но отнюдь	7	2
111	о том	4	2
112	то же	5	2
113	они не	3	2
114	организма и	2	2
115	как и	7	2
116	что он	2	2
117	говорить о	3	2
118	в своей	7	2
119	себя и	3	2
120	ни было	3	2
121	но как	2	2
122	в самом	7	2
123	в начале	2	2
124	не на	5	2
125	в частности	2	2
126	войти в	2	2
127	и вся	2	2
128	он не	3	2
129	не нуждается	2	2
130	со всеми	3	2
131	момента в	2	2
132	и о	5	2
133	оно не	3	2
134	не есть	6	2
135	всех его	4	2
136	за пределы	12	2
137	к этому	2	2
138	конечном счете	4	2
139	дела с	4	2
140	его целом	5	2
141	нет и	3	2
142	можем сказать	2	2
143	с помощью	7	2
144	не знает	3	2
145	в пределах	6	2
146	что оно	2	2
147	и этим	6	2
148	цели и	2	2
149	на основе	6	2
150	с ним	5	2
151	все и	2	2
152	характерно для	2	2
153	но это	3	2
154	но зато	2	2
