N	2gram	Nazirov_Tr	SlovoVZh
1	не может	5	16
2	может быть	7	14
3	и его	6	13
4	как бы	7	13
5	и в	18	12
6	и не	7	10
7	прежде всего	4	8
8	при этом	3	6
9	в том	2	6
10	в нем	4	6
11	никогда не	2	5
12	как в	3	5
13	но в	6	5
14	том что	4	5
15	то же	5	5
16	как и	5	5
17	то что	4	5
18	отнюдь не	3	5
19	в самом	2	4
20	в этом	9	4
21	не только	8	4
22	его в	2	4
23	не в	2	4
24	все же	5	4
25	к нему	3	4
26	так и	5	4
27	и на	7	4
28	уже не	2	4
29	отношение к	2	4
30	о том	2	3
31	имеет в	2	3
32	ни в	2	3
33	все эти	3	3
34	так же	4	3
35	в себе	4	3
36	еще не	4	3
37	все это	4	3
38	и ее	2	3
39	и с	7	3
40	с ним	3	3
41	но и	4	3
42	для него	3	3
43	и то	2	2
44	в его	3	2
45	данном случае	2	2
46	до конца	2	2
47	и здесь	2	2
48	что в	4	2
49	не так	2	2
50	в душе	2	2
51	ничего не	2	2
52	с его	2	2
53	что и	2	2
54	это не	5	2
55	и все	4	2
56	но все	2	2
57	в своем	3	2
58	в данном	2	2
59	жизнью и	2	2
60	и что	4	2
61	в то	5	2
62	уже в	3	2
63	вместе со	2	2
64	еще раз	2	2
65	в основном	3	2
66	но это	4	2
67	он не	2	2
68	как же	2	2
69	как это	3	2
