N	3gram	Vinokur_St	Myslijsy
1	в том что	29	47
2	по отношению к	3	26
3	не может быть	5	19
4	тем не менее	4	18
5	по крайней мере	2	17
6	и т д	25	15
7	то же время	5	13
8	в то же	5	13
9	а между тем	2	13
10	не в том	3	13
11	в том смысле	4	13
12	во всяком случае	8	12
13	с другой стороны	8	12
14	более или менее	2	12
15	только в том	3	12
16	до сих пор	12	12
17	и в этом	4	12
18	и т п	11	11
19	сами по себе	2	11
20	для того чтобы	13	11
21	в то время	2	10
22	с одной стороны	2	10
23	о том что	19	9
24	на то что	5	9
25	но и в	2	9
26	что и в	4	9
27	на самом деле	7	8
28	так и в	5	8
29	вместе с тем	2	8
30	в этом случае	3	8
31	как бы ни	2	8
32	только потому что	2	8
33	как и в	2	7
34	не только не	2	7
35	в том как	3	7
36	не только в	4	7
37	с точки зрения	10	7
38	и в том	3	7
39	в этом смысле	2	7
40	после того как	5	6
41	с самого начала	3	6
42	к тому что	4	5
43	то что в	3	5
44	и то что	2	5
45	вопрос о том	4	4
46	в данном случае	7	4
47	в том же	3	4
48	одним и тем	2	4
49	обратить внимание на	3	4
50	том смысле что	2	4
51	и в самом	3	4
52	и тем же	2	4
53	в этом отношении	13	4
54	или лучше сказать	2	4
55	на этот вопрос	2	4
56	дело в том	7	4
57	бы то ни	2	3
58	что же касается	3	3
59	что не может	2	3
60	если бы мы	2	3
61	том что он	6	3
62	говоря уже о	2	3
63	ничего общего с	3	3
64	в применении к	3	3
65	что он не	5	3
66	можно было бы	8	3
67	не говоря уже	2	3
68	виде в каком	2	3
69	точно так же	2	3
70	хотя бы и	2	3
71	заключается в том	4	3
72	это не значит	3	3
73	так или иначе	3	3
74	во многих случаях	2	3
75	в одном из	4	3
76	но с другой	2	3
77	в таком виде	2	3
78	в этих словах	2	2
79	ни для кого	2	2
80	так же как	5	2
81	тем что в	2	2
82	же и в	2	2
83	в свое время	3	2
84	так как в	2	2
85	что это не	2	2
86	уже о том	2	2
87	но столь же	2	2
88	но все же	3	2
89	что в нем	2	2
90	всяком случае не	2	2
