N	3gram	Losev_Vlad	Dialekti
1	и т д	3	75
2	в том что	13	25
3	не может быть	4	18
4	не что иное	2	18
5	что иное как	2	18
6	тем не менее	8	16
7	то же время	7	15
8	в то же	7	14
9	о том что	9	12
10	с другой стороны	3	12
11	на то что	6	11
12	в то время	6	8
13	в этом смысле	4	8
14	то время как	2	8
15	говоря уже о	3	7
16	можно сказать что	3	7
17	не говоря уже	3	7
18	и в частности	3	7
19	не в том	3	7
20	точно так же	2	7
21	в связи с	7	7
22	так или иначе	3	7
23	более или менее	5	6
24	для того чтобы	3	6
25	во всяком случае	8	6
26	и в то	3	6
27	не имеет никакого	2	6
28	в сравнении с	2	6
29	на первый план	4	5
30	в конце концов	6	5
31	и можно сказать	2	5
32	как раз и	2	4
33	но это не	2	4
34	но даже и	3	4
35	к тому же	3	4
36	в этом отношении	2	4
37	никакого отношения к	3	4
38	бы то ни	2	3
39	но в то	2	3
40	даже больше того	2	3
41	так что в	2	3
42	хотя и не	2	3
43	это конечно не	2	3
44	не только в	3	3
45	что он не	3	2
46	как это мы	4	2
47	это нисколько не	2	2
48	в это время	5	2
49	кроме того и	2	2
50	мы будем говорить	2	2
51	в последнее время	2	2
52	том что в	3	2
53	что и в	2	2
54	так как он	2	2
55	дело в том	7	2
56	мы уже сказали	2	2
57	и в том	2	2
58	ни в каких	2	2
59	в свою очередь	2	2
60	и то что	7	2
