N	3gram	Tiupa_Narr	Formalny
1	с точки зрения	2	40
2	не может быть	5	29
3	то же время	3	20
4	в то же	3	20
5	в связи с	2	16
6	по отношению к	6	12
7	в этом отношении	3	11
8	бы то ни	3	10
9	с другой стороны	4	9
10	с одной стороны	7	8
11	более или менее	2	7
12	сами по себе	2	7
13	то ни было	3	7
14	в свою очередь	3	7
15	того или иного	2	7
16	в данном случае	4	6
17	в том что	8	6
18	в значительной степени	2	5
19	в отличие от	5	5
20	и не в	4	4
21	а не в	2	4
22	тем не менее	3	4
23	подобно тому как	2	4
24	но все же	4	4
25	в отвлечении от	2	3
26	то или иное	2	3
27	в том числе	6	3
28	не сводится к	2	3
29	так или иначе	2	3
30	том числе и	4	3
31	именно в том	2	3
32	так же как	2	2
33	в том или	2	2
34	этой точки зрения	2	2
35	так и не	2	2
36	в таком случае	2	2
37	не только в	2	2
38	и тем самым	3	2
39	том или ином	2	2
