N	2gram	Nazirov_Vr	NovoeSre
1	и в	8	16
2	не может	2	16
3	и не	5	11
4	что в	7	9
5	в том	3	8
6	он не	3	8
7	может быть	4	7
8	как и	6	7
9	в этом	8	7
10	никогда не	2	6
11	но это	2	6
12	с его	3	6
13	не только	9	5
14	все это	4	5
15	в нем	6	5
16	в ней	4	5
17	в них	2	4
18	не менее	2	4
19	не было	5	4
20	то что	7	4
21	о том	4	4
22	это не	4	4
23	и все	7	4
24	в мире	2	3
25	но и	7	3
26	в россии	5	3
27	в своей	2	3
28	еще не	2	3
29	к ним	2	3
30	в истории	4	3
31	наряду с	3	3
32	в одну	2	2
33	в себе	2	2
34	и с	6	2
35	одна из	2	2
36	и т.п	2	2
37	нашего времени	2	2
38	и это	2	2
39	же как	2	2
40	а в	2	2
41	но в	6	2
42	том что	3	2
43	и что	8	2
44	у него	5	2
45	уже не	2	2
46	права на	2	2
47	так же	4	2
48	в то	5	2
49	место в	2	2
50	и даже	6	2
51	вместе с	2	2
52	я не	3	2
