N	3gram	Vygotskiy_	Istorich
1	и т д	10	142
2	с другой стороны	7	46
3	до сих пор	8	30
4	мы видим что	4	30
5	с одной стороны	6	28
6	так же как	8	27
7	мы знаем что	3	26
8	в том что	21	25
9	не может быть	14	24
10	тем не менее	6	23
11	вместе с тем	3	23
12	точно так же	6	22
13	о том что	9	22
14	в связи с	2	17
15	мы видели что	2	16
16	на то что	12	14
17	мы увидим что	2	13
18	в то время	6	13
19	то время как	6	13
20	что иное как	2	11
21	не что иное	2	11
22	как и в	5	10
23	можно было бы	2	10
24	что и в	5	10
25	более или менее	3	9
26	но так как	2	9
27	же как и	2	9
28	то же самое	8	8
29	таким образом и	3	8
30	надо сказать что	3	8
31	подобно тому как	7	8
32	в зависимости от	6	8
33	что у него	3	8
34	и то что	3	8
35	во всяком случае	7	7
36	потому что он	2	7
37	с тем что	2	7
38	смысле этого слова	2	7
39	этой точки зрения	7	6
40	с этой точки	5	6
41	так как в	3	6
42	мы не можем	2	6
43	на самом деле	6	5
44	для того чтобы	11	5
45	так и в	2	5
46	и когда он	2	5
47	в отличие от	4	5
48	другой стороны и	2	5
49	в том чтобы	9	5
50	то же что	2	4
51	состоит в том	3	4
52	он не может	3	4
53	можно сказать что	2	4
54	с точки зрения	12	4
55	сами по себе	4	4
56	по себе не	3	4
57	и тем не	2	4
58	не означает что	2	4
59	только то что	2	4
60	же самое что	2	4
61	все то что	3	3
62	бы то ни	2	3
63	только тогда когда	4	3
64	никак не может	3	3
65	не только не	4	3
66	как только мы	2	3
67	не в состоянии	4	3
68	как будто бы	2	3
69	в одном из	2	3
70	таким образом в	2	3
71	и тот же	2	3
72	по этому поводу	3	3
73	и тем что	2	3
74	к тому что	2	3
75	не в том	7	3
76	в противоречие с	3	3
77	же как в	2	3
78	один и тот	2	3
79	само по себе	8	3
80	что в этом	3	3
81	по сравнению с	3	3
82	в силу того	3	2
83	в самом деле	13	2
84	сам по себе	4	2
85	лежит в основе	2	2
86	и в том	2	2
87	от всех других	2	2
88	он не только	3	2
89	все больше и	2	2
90	сама по себе	2	2
91	по себе а	3	2
92	при этом он	2	2
93	не потому что	2	2
94	хотя и не	2	2
95	не могут быть	2	2
96	к тому чтобы	3	2
97	и не может	2	2
98	и те же	3	2
99	больше и больше	2	2
100	сказать что в	3	2
101	том что он	2	2
102	силу того что	3	2
103	том что она	5	2
104	совершенно ясно что	16	2
105	совершенно очевидно что	2	2
106	и т п	23	2
107	только в том	4	2
108	то что и	2	2
109	указывает на то	4	2
110	и при помощи	2	2
111	и той же	5	2
112	на то чтобы	3	2
113	легко заметить что	2	2
114	все дело в	2	2
115	показывает что в	2	2
116	в таком случае	3	2
117	только потому что	2	2
118	и таким образом	4	2
119	одной и той	5	2
120	в свою очередь	3	2
121	в целом не	2	2
122	так как они	2	2
123	а в том	2	2
