N	2gram	Tiupa_Hudo	TeoriaLi
1	в качестве	13	33
2	в мире	10	26
3	не только	22	24
4	и в	34	24
5	в частности	10	23
6	состоит в	8	22
7	может быть	12	22
8	в том	24	20
9	при этом	21	20
10	в тексте	8	19
11	я в	2	18
12	тогда как	10	18
13	и не	15	17
14	а в	11	15
15	но и	13	14
16	так и	19	14
17	а не	23	14
18	в себе	19	14
19	в рамках	2	13
20	такого рода	4	13
21	но не	7	13
22	в этом	22	12
23	то же	14	12
24	но в	6	12
25	сводится к	7	12
26	в его	17	12
27	том что	31	11
28	точки зрения	7	11
29	своего рода	19	11
30	и его	8	11
31	по отношению	15	10
32	лишь в	5	10
33	отношению к	15	10
34	как это	8	10
35	что в	8	10
36	в данном	3	9
37	не в	16	9
38	в душе	6	9
39	с другой	4	9
40	в то	12	9
41	только в	8	9
42	всего лишь	7	8
43	не может	10	8
44	по своей	5	8
45	как бы	11	8
46	в миропорядке	4	8
47	в своей	15	8
48	же время	11	8
49	художественной реальности	3	7
50	или иной	2	7
51	в своем	9	7
52	а также	4	7
53	себя в	11	7
54	отношение к	3	7
55	во второй	7	7
56	на смену	2	7
57	художественного письма	2	7
58	в самом	7	7
59	однако в	4	7
60	место в	3	7
61	не столько	4	7
62	и т.п	2	7
63	в нем	5	7
64	тем самым	2	6
65	или иного	4	6
66	внутреннего я	3	6
67	того или	4	6
68	в первой	6	6
69	конечном счете	4	6
70	в конечном	5	6
71	со стороны	6	6
72	не менее	9	6
73	героя и	5	6
74	еще не	10	6
75	то что	13	6
76	как и	16	6
77	с другими	2	6
78	в русской	4	6
79	или иначе	3	6
80	картина мира	4	6
81	уже не	12	6
82	приводит к	5	6
83	между ними	2	6
84	в ее	16	6
85	в основе	3	6
86	с его	9	6
87	данном случае	3	5
88	я с	2	5
89	а и	2	5
90	по преимуществу	6	5
91	как в	11	5
92	как правило	6	5
93	как к	4	5
94	иначе говоря	2	5
95	ни в	5	5
96	и тем	2	5
97	по сути	2	5
98	в ходе	4	5
99	роли в	2	5
100	для того	3	5
101	и о	8	5
102	в пределах	4	5
103	для него	15	5
104	не случайно	14	5
105	так или	3	5
106	между тем	14	5
107	жизни как	7	5
108	а а	2	5
109	в художественном	6	5
110	воспринимающего сознания	2	5
111	того чтобы	6	5
112	того что	5	5
113	художественности в	4	5
114	он не	8	5
115	в себя	3	5
116	можно сказать	9	5
117	никогда не	8	4
118	сказать что	3	4
119	его в	5	4
120	это не	12	4
121	во времени	2	4
122	так в	2	4
123	читателя в	6	4
124	художественного мира	3	4
125	и ее	3	4
126	в форме	2	4
127	в другом	3	4
128	в силу	2	4
129	и а	7	4
130	и т.д	3	4
131	художественного восприятия	2	4
132	в их	2	4
133	уединенного сознания	5	4
134	в этих	7	4
135	что он	14	4
136	по своему	3	4
137	в литературе	3	4
138	к тому	11	4
139	а только	4	4
140	слова в	2	4
141	в целом	2	4
142	личности и	3	4
143	личности в	9	4
144	со своей	3	4
145	и что	3	4
146	говорить о	4	4
147	или даже	2	4
148	с ее	7	4
149	и сам	3	4
150	не следует	2	4
151	в нашем	2	4
152	не знает	2	4
153	хотя и	3	4
154	художественного целого	8	4
155	но он	3	4
156	даже в	4	3
157	и то	2	3
158	перед нами	13	3
159	мышления и	3	3
160	и потому	3	3
161	во всех	2	3
162	авторской позиции	2	3
163	из этих	3	3
164	одной стороны	4	3
165	о чем	9	3
166	в которой	2	3
167	не все	2	3
168	и для	5	3
169	картины мира	4	3
170	тем не	7	3
171	говоря о	2	3
172	если бы	7	3
173	роль в	2	3
174	однако если	2	3
175	или в	3	3
176	художественного мышления	8	3
177	подобно тому	4	3
178	а всего	2	3
179	в таком	3	3
180	слова как	2	3
181	с этой	3	3
182	к области	2	3
183	несет в	4	3
184	ни к	2	3
185	была бы	3	3
186	с одной	4	3
187	а с	5	3
188	не с	2	3
189	и составляет	2	3
190	в жизни	9	3
191	я героя	2	3
192	для себя	9	3
193	в контексте	2	3
194	в роли	3	3
195	столь же	6	3
196	их в	2	3
197	именно в	9	3
198	потому что	7	3
199	сути дела	2	3
200	в сторону	2	3
201	тому как	4	3
202	что можно	2	3
203	во втором	2	3
204	являет собой	2	3
205	прежде всего	12	3
206	человеческой жизни	9	3
207	и к	6	3
208	отнюдь не	4	3
209	только не	3	3
210	от себя	3	3
211	с точки	5	3
212	своей природе	2	3
213	все эти	4	3
214	и по	3	3
215	в равной	3	3
216	связи с	4	3
217	в связи	3	3
218	в финале	5	3
219	принадлежит к	2	3
220	например в	3	3
221	в этой	11	3
222	и внешней	2	3
223	в одном	3	3
224	как раз	7	3
225	вовсе не	2	3
226	вслед за	3	3
227	человеческого я	7	3
228	между автором	2	2
229	еще и	2	2
230	чтобы не	3	2
231	ключ к	2	2
232	его художественности	2	2
233	могла бы	2	2
234	значительной степени	3	2
235	то в	6	2
236	идет о	3	2
237	так же	3	2
238	читательского восприятия	3	2
239	если в	4	2
240	жизни на	4	2
241	сознания в	2	2
242	но как	3	2
243	теории литературы	2	2
244	дело не	2	2
245	личности к	2	2
246	человека и	4	2
247	дело в	2	2
248	при всей	3	2
249	что она	10	2
250	о своем	2	2
251	уже говорилось	3	2
252	это было	2	2
253	как уже	3	2
254	об этом	8	2
255	и даже	4	2
256	в конце	5	2
257	я и	7	2
258	это и	2	2
259	превращается в	6	2
260	внутреннего мира	2	2
261	способность к	2	2
262	времени и	2	2
263	казалось бы	12	2
264	жизни в	12	2
265	в значительной	3	2
266	от своего	2	2
267	человеческое я	2	2
