N	2gram	Trubetskoy	Tragedij
1	и в	26	18
2	в этом	15	9
3	не только	10	8
4	и не	8	7
5	и на	2	7
6	как бы	12	7
7	и с	10	7
8	может быть	10	7
9	же время	2	6
10	что он	4	6
11	но в	7	6
12	в образе	2	6
13	несмотря на	6	5
14	что это	3	5
15	к жизни	5	5
16	все же	6	5
17	то же	4	5
18	так и	6	5
19	не может	4	5
20	в то	4	5
21	что в	9	4
22	еще не	2	4
23	но и	9	4
24	прежде всего	2	4
25	том что	7	4
26	в этой	4	4
27	и что	4	4
28	так же	5	4
29	и все	2	4
30	все это	6	4
31	в нем	4	4
32	то что	7	4
33	и даже	3	4
34	в себе	6	4
35	один из	2	3
36	и как	3	3
37	в мире	5	3
38	уже в	2	3
39	к нему	7	3
40	в своем	3	3
41	при этом	3	3
42	в его	5	3
43	все эти	6	3
44	для него	3	3
45	то есть	4	3
46	в конце	6	3
47	никогда не	5	2
48	в самом	4	2
49	но все	7	2
50	с тем	18	2
51	точно так	3	2
52	в одном	3	2
53	в русском	2	2
54	не имеет	5	2
55	в виде	4	2
56	не могут	2	2
57	что все	4	2
58	к тому	6	2
59	о том	6	2
60	что и	6	2
61	не в	2	2
62	и здесь	2	2
63	потому что	7	2
64	между этими	2	2
65	в таком	3	2
66	так что	3	2
67	он не	4	2
68	ничем не	4	2
69	уже не	3	2
70	что эти	3	2
71	этими двумя	2	2
72	и это	2	2
73	из своих	2	2
74	в том	11	2
75	в глазах	2	2
76	но при	2	2
77	с его	2	2
78	отношение к	5	2
