N	4gram	Losev_Prob	Vladivir
1	дело в том что	3	11
2	в то время как	6	5
3	и в то же	2	5
4	то это значит что	3	4
5	не что иное как	6	4
6	также и то что	5	4
7	заключается в том что	4	3
8	на самом же деле	7	3
9	одно и то же	3	2
10	и тем не менее	6	2
11	себе отчет в том	2	2
12	если иметь в виду	2	2
13	или по крайней мере	6	2
14	и ни в чем	2	2
15	отчет в том что	2	2
16	содержит в себе и	2	2
17	бы то ни было	4	2
18	не имеет ничего общего	3	2
19	мы должны сказать что	4	2
20	есть не что иное	6	2
21	взятое само по себе	3	2
