N	3gram	Voloshinov	Komedia
1	то же время	7	16
2	в то же	9	16
3	о том что	2	13
4	в самом деле	2	13
5	для того чтобы	7	11
6	в свою очередь	4	10
7	по отношению к	2	9
8	вместе с тем	2	9
9	в конце концов	3	7
10	с самого начала	4	7
11	в связи с	2	6
12	с точки зрения	5	6
13	то же самое	4	5
14	в этом отношении	2	5
15	чуть ли не	2	4
16	само собой разумеется	2	4
17	к тому что	2	4
18	но все же	3	4
19	в той же	3	3
20	но и в	3	3
21	равно как и	2	3
22	но при этом	2	2
23	в тех случаях	2	2
24	как мы видели	3	2
25	в зависимости от	7	2
26	тех случаях когда	2	2
27	не только в	3	2
28	в этом случае	3	2
29	только потому что	2	2
30	и в то	2	2
31	но об этом	2	2
