N	2gram	Losev_Prob	SlovoVZh
1	не может	14	16
2	точки зрения	14	14
3	может быть	39	14
4	и его	12	13
5	как бы	11	13
6	и в	62	12
7	таким образом	13	12
8	в нашем	13	11
9	и не	56	10
10	так как	14	9
11	если бы	9	9
12	прежде всего	13	8
13	для нас	23	7
14	сказать что	24	7
15	художественного произведения	14	7
16	слова и	3	6
17	все время	2	6
18	при этом	9	6
19	в том	35	6
20	в нем	13	6
21	только в	33	6
22	в процессе	2	6
23	в ней	12	6
24	никогда не	7	5
25	как в	10	5
26	что мы	12	5
27	в виду	20	5
28	можно сказать	10	5
29	но в	17	5
30	том что	25	5
31	то же	23	5
32	как и	15	5
33	и следовательно	3	5
34	мы ни	4	5
35	хотя бы	6	5
36	а не	28	5
37	то что	42	5
38	отнюдь не	16	5
39	в самом	4	4
40	в этом	25	4
41	не только	33	4
42	в литературе	3	4
43	на самом	13	4
44	что не	4	4
45	его в	4	4
46	и является	6	4
47	зависимости от	3	4
48	жизни и	7	4
49	мы все	5	4
50	не в	21	4
51	ни было	5	4
52	с другой	14	4
53	все же	10	4
54	дело в	6	4
55	к нему	3	4
56	за пределы	6	4
57	и к	9	4
58	так и	16	4
59	и на	4	4
60	уже не	12	4
61	от того	2	4
62	литературы и	2	4
63	в них	6	3
64	по себе	36	3
65	в каком	9	3
66	и вообще	20	3
67	о том	14	3
68	и для	5	3
69	ее и	2	3
70	имеет в	2	3
71	да и	9	3
72	не к	2	3
73	из этого	5	3
74	ни в	17	3
75	все эти	14	3
76	в котором	3	3
77	бы то	5	3
78	и наконец	2	3
79	то ни	7	3
80	так же	11	3
81	в своей	8	3
82	мы не	15	3
83	конечно не	3	3
84	в себе	23	3
85	художественное произведение	9	3
86	еще не	12	3
87	здесь не	11	3
88	все это	9	3
89	только на	6	3
90	когда он	2	3
91	и ее	7	3
92	и с	11	3
93	этой точки	2	3
94	бы мы	2	3
95	но для	3	3
96	не менее	24	3
97	сих пор	4	3
98	с ним	11	3
99	до сих	4	3
100	быть и	3	3
101	в пределах	3	3
102	произведения и	2	3
103	и по	3	3
104	формы и	3	3
105	в художественном	5	3
106	самом деле	6	3
107	того что	10	3
108	тем не	23	3
109	художественном произведении	3	3
110	и более	6	3
111	но и	20	3
112	для него	4	3
113	ясно что	11	3
114	едва ли	8	2
115	вещи и	9	2
116	одно и	4	2
117	и то	17	2
118	мы в	6	2
119	в его	10	2
120	которые мы	5	2
121	данном случае	12	2
122	и здесь	8	2
123	что в	11	2
124	а к	2	2
125	эта последняя	2	2
126	не так	8	2
127	стороны и	3	2
128	в отношении	4	2
129	не есть	57	2
130	искусства и	3	2
131	и притом	7	2
132	контекст и	2	2
133	ничего не	4	2
134	общего с	3	2
135	речи в	2	2
136	что и	11	2
137	это не	10	2
138	и все	13	2
139	кроме того	5	2
140	слова но	3	2
141	с точки	9	2
142	и содержания	2	2
143	содержания и	3	2
144	она не	3	2
145	но все	5	2
146	в своем	7	2
147	дело с	3	2
148	но отнюдь	2	2
149	бы не	2	2
150	и вполне	9	2
151	все они	5	2
152	в зависимости	3	2
153	в данном	14	2
154	с другими	6	2
155	независимо от	4	2
156	действия и	2	2
157	из него	2	2
158	мы имеем	7	2
159	и что	9	2
160	в то	18	2
161	перестает быть	3	2
162	уже в	5	2
163	с этой	3	2
164	в этих	6	2
165	одной стороны	2	2
166	еще раз	2	2
167	и другие	4	2
168	но это	13	2
169	в условиях	7	2
170	в настоящее	4	2
171	он не	10	2
172	есть уже	4	2
173	как же	3	2
174	как только	3	2
175	как на	2	2
176	и потому	13	2
177	его как	3	2
178	имеем в	4	2
179	но не	6	2
180	как это	4	2
181	если же	4	2
182	поскольку они	3	2
183	нас и	2	2
184	мы можем	11	2
185	была бы	2	2
186	что слово	3	2
187	ни на	5	2
188	могут быть	2	2
189	в чем	5	2
190	между собой	3	2
191	нет ничего	6	2
192	настоящее время	4	2
193	с одной	3	2
194	относится к	4	2
195	к этому	2	2
196	же самое	20	2
197	и значение	3	2
198	бы даже	3	2
199	но что	3	2
200	но этот	2	2
201	другой стороны	11	2
202	вместе с	3	2
203	на него	3	2
