N	3gram	Tiupa_Vved	Psycholo
1	в том что	10	78
2	на то что	2	55
3	в самом деле	2	51
4	о том что	6	34
5	то же самое	2	31
6	с одной стороны	9	28
7	не может быть	6	23
8	с другой стороны	2	20
9	в том чтобы	2	20
10	на самом деле	4	17
11	во всяком случае	3	14
12	в этом отношении	7	14
13	можно было бы	2	13
14	заключает в себе	4	13
15	в конечном счете	2	11
16	подобно тому как	3	11
17	не в том	3	10
18	в данном случае	15	9
19	в отличие от	11	9
20	речь идет о	3	8
21	а с другой	3	7
22	состоит в том	2	7
23	в свою очередь	5	7
24	как и в	2	7
25	более или менее	2	6
26	тем не менее	3	6
27	не только в	3	6
28	как бы в	2	5
29	к тому же	6	4
30	и для нас	2	4
31	несет в себе	4	4
32	как будто бы	3	4
33	в основе своей	2	4
34	а в том	3	4
35	в своем роде	2	3
36	в то же	5	3
37	по аналогии с	2	3
38	по отношению к	11	3
39	может быть не	3	3
40	то же время	4	3
41	друг от друга	2	3
42	в том как	2	3
43	едва ли не	2	3
44	в высшей степени	2	3
45	той или иной	4	2
46	как мы видели	3	2
47	но при этом	3	2
48	тому или иному	2	2
49	имеем дело с	4	2
50	как и для	3	2
51	и все же	6	2
52	но и в	3	2
53	хотя и не	2	2
54	мере в какой	2	2
55	прежде всего на	2	2
56	не зависит от	2	2
57	которая не может	2	2
58	при этом не	2	2
59	одной стороны и	3	2
60	и тем самым	2	2
61	мы имеем дело	5	2
