N	4gram	Losev_Dial	VeschiIm
1	не что иное как	6	12
2	и т д и	8	11
3	д и т д	7	10
4	т д и т	7	10
5	есть не что иное	3	8
6	и тем не менее	2	5
7	одно и то же	2	5
8	в то время как	6	4
9	в то же время	3	4
10	это значит что мы	3	4
11	с этой точки зрения	4	4
12	ни в каком случае	2	4
13	то это значит что	3	3
14	и в то же	2	3
15	что это значит? это	2	2
16	это значит? это значит	2	2
17	не имеет никакого отношения	3	2
18	значит? это значит что	2	2
19	от всего прочего и	2	2
20	по крайней мере в	3	2
21	или по крайней мере	4	2
