N	2gram	Losev_Prob	Mirosoze
1	и в	62	97
2	может быть	39	64
3	не только	33	63
4	в этом	25	55
5	но и	20	54
6	он не	10	53
7	а не	28	53
8	в нем	13	49
9	не может	14	49
10	и не	56	39
11	никогда не	7	38
12	потому что	40	37
13	в ней	12	37
14	не было	6	36
15	не в	21	34
16	и есть	9	33
17	для него	4	31
18	не есть	57	30
19	прежде всего	13	29
20	как и	15	29
21	но в	17	27
22	и он	3	27
23	и это	11	25
24	в своей	8	25
25	и все	13	24
26	переходит в	2	24
27	у нас	17	24
28	в своем	7	23
29	что в	11	23
30	что он	16	22
31	в самом	4	21
32	в себе	23	20
33	как бы	11	19
34	в его	10	18
35	и потому	13	17
36	того что	10	17
37	в том	35	16
38	том что	25	16
39	то что	42	16
40	было бы	14	16
41	если нет	2	16
42	и его	12	16
43	не был	3	15
44	в этой	10	15
45	в котором	3	15
46	нет ничего	6	14
47	в конце	7	14
48	она не	3	14
49	так как	14	14
50	друг друга	5	13
51	и на	4	13
52	это не	10	12
53	и у	2	12
54	к нему	3	12
55	смысле слова	19	12
56	в них	6	12
57	все это	9	12
58	но не	6	12
59	он сам	7	12
60	с тем	9	11
61	и там	2	11
62	но это	13	11
63	хотя бы	6	11
64	в которой	3	11
65	только в	33	11
66	как в	10	11
67	и для	5	11
68	уже не	12	11
69	и к	9	11
70	жизни и	7	11
71	так же	11	10
72	есть не	13	10
73	это и	11	10
74	то же	23	10
75	не имеет	12	10
76	в самой	4	10
77	доходит до	2	9
78	есть и	2	9
79	бы и	7	9
80	xix века	2	9
81	а в	9	9
82	к тому	4	9
83	не будет	3	9
84	что и	11	9
85	и во	5	9
86	образ и	4	9
87	то есть	63	9
88	есть уже	4	9
89	с ним	11	9
90	вместе с	3	9
91	вопрос о	2	8
92	ничего не	4	8
93	от него	2	8
94	в этих	6	8
95	не так	8	8
96	жизнь в	3	8
97	что не	4	8
98	того чтобы	4	8
99	в отношении	4	8
100	только и	9	8
101	нет в	2	8
102	себя в	4	8
103	за пределы	6	8
104	тем что	8	8
105	для того	5	8
106	о том	14	8
107	и с	11	8
108	уже в	5	8
109	она есть	2	7
110	как он	2	7
111	но если	12	7
112	что все	2	7
113	он в	3	7
114	точки зрения	14	7
115	что она	5	7
116	также и	22	7
117	не существует	6	7
118	в нашем	13	7
119	все в	4	7
120	от нее	2	7
121	отношения к	3	7
122	во всем	2	7
123	чем в	2	7
124	чтобы не	2	6
125	его в	4	6
126	у человека	2	6
127	у них	2	6
128	и она	2	6
129	в ее	6	6
130	его не	2	6
131	совсем не	4	6
132	это есть	5	6
133	быть и	3	6
134	самого себя	4	6
135	и от	11	6
136	что это	3	6
137	и нет	2	6
138	там и	4	6
139	можно было	7	6
140	к ней	2	6
141	если бы	9	6
142	бы не	2	6
143	с этой	3	6
144	же и	7	6
145	жизнь и	3	6
146	и более	6	6
147	что у	3	6
148	на то	6	6
149	и здесь	8	6
150	есть прежде	3	6
151	в которых	3	6
152	не к	2	6
153	и если	11	5
154	с собой	6	5
155	в то	18	5
156	в их	2	5
157	так и	16	5
158	все время	2	5
159	и этот	3	5
160	для чего	3	5
161	не стоит	2	5
162	до того	2	5
163	сказать что	24	5
164	во всяком	14	5
165	в основе	3	5
166	да и	9	5
167	с этим	5	5
168	с самим	4	5
169	отличается от	8	5
170	и как	4	5
171	человека но	3	5
172	бы в	3	5
