N	2gram	Losev_Dial	UchenyiS
1	и в	34	14
2	не только	35	10
3	а не	39	10
4	и не	50	8
5	прежде всего	20	8
6	то что	25	7
7	не может	29	7
8	вот почему	3	7
9	в этом	14	7
10	может быть	30	6
11	перестает быть	2	5
12	и только	6	5
13	то же	9	5
14	хотя бы	9	5
15	все это	13	5
16	но и	14	4
17	в этой	3	4
18	что такое	25	4
19	с другой	5	4
20	в их	2	4
21	конечно не	6	4
22	не о	6	3
23	у нас	7	3
24	в частности	3	3
25	для этого	3	3
26	это не	13	3
27	только к	3	3
28	и то	7	3
29	в своей	4	3
30	все же	4	3
31	как и	14	3
32	в то	9	3
33	но в	3	3
34	же время	5	3
35	и формы	2	3
36	было бы	13	3
37	бы то	3	3
38	то ни	4	3
39	другой стороны	4	3
40	для него	4	3
41	в самом	9	2
42	в себе	8	2
43	как принцип	2	2
44	что мы	10	2
45	и у	3	2
46	мы и	4	2
47	о чем	2	2
48	нас в	3	2
49	что он	18	2
50	надо было	4	2
51	крайней мере	10	2
52	таким образом	14	2
53	но не	3	2
54	ни от	6	2
55	и для	5	2
56	если бы	10	2
57	самом деле	7	2
58	только в	10	2
59	и является	2	2
60	не есть	95	2
61	что она	13	2
62	ничего не	29	2
63	всех этих	3	2
64	даже и	9	2
65	и с	10	2
66	тех или	6	2
67	что и	8	2
68	или иных	2	2
69	по крайней	10	2
70	при таком	2	2
71	могут быть	5	2
72	на первый	4	2
73	не приходится	2	2
74	но даже	4	2
75	не могут	6	2
76	это было	5	2
77	превращается в	6	2
78	по себе	31	2
79	тем что	5	2
80	том что	18	2
81	а как	2	2
82	в его	6	2
83	это уже	2	2
84	в том	17	2
85	что все	16	2
86	этом отношении	2	2
87	как таковой	6	2
88	если не	3	2
89	с его	7	2
90	как раз	11	2
91	должна быть	11	2
92	фактов и	3	2
93	но это	10	2
94	по существу	2	2
95	не в	11	2
96	бы и	2	2
97	в конце	2	2
98	в некоторых	3	2
99	очевидно не	2	2
100	мы не	11	2
101	именно как	3	2
