N	2gram	Tiupa_Disk	Analitik
1	не только	36	71
2	тогда как	28	67
3	и в	27	66
4	в качестве	45	61
5	литературного произведения	3	58
6	но и	22	57
7	в том	29	52
8	может быть	29	52
9	в частности	18	51
10	в этом	29	51
11	как и	27	50
12	и не	25	48
13	в тексте	5	42
14	а не	35	42
15	том что	27	40
16	при этом	22	40
17	так и	14	35
18	то есть	29	35
19	в мире	9	31
20	своего рода	15	30
21	состоит в	20	30
22	коммуникативного события	19	30
23	представляет собой	24	30
24	не может	17	29
25	как бы	9	29
26	отнюдь не	11	29
27	а в	5	28
28	в его	9	27
29	и его	4	27
30	не в	8	26
31	но не	17	26
32	текста в	2	26
33	в себе	22	24
34	не случайно	2	24
35	художественного целого	3	24
36	иначе говоря	5	23
37	к тому	6	22
38	и даже	4	22
39	в этой	5	22
40	что в	8	22
41	лишь в	4	21
42	и т.п	18	20
43	о том	12	20
44	я в	2	20
45	по отношению	13	19
46	но в	15	19
47	в своей	10	19
48	то же	12	19
49	в самом	4	19
50	с его	9	19
51	в то	8	18
52	в данном	9	18
53	отношению к	13	18
54	тем самым	6	17
55	или иной	8	17
56	с другой	14	17
57	со стороны	17	17
58	такого рода	11	17
59	в целом	5	17
60	только в	9	17
61	могут быть	5	16
62	то что	10	16
63	в пределах	4	16
64	что и	5	16
65	не есть	3	15
66	в их	5	15
67	прежде всего	17	15
68	в сущности	3	15
69	в рамках	11	15
70	уже не	7	15
71	и на	8	15
72	между тем	5	15
73	данном случае	6	14
74	в принципе	4	14
75	отличие от	13	14
76	не менее	6	14
77	того же	5	14
78	той или	6	14
79	мы имеем	4	14
80	себя в	8	14
81	я и	3	14
82	эстетического отношения	2	14
83	в отличие	13	14
84	далеко не	10	14
85	столь же	6	14
86	же время	9	14
87	в себя	7	14
88	станционного смотрителя	2	13
89	по себе	3	13
90	о блудном	7	13
91	точки зрения	6	13
92	в начале	2	13
93	для него	9	13
94	а также	15	13
95	как правило	5	13
96	в случае	2	13
97	он не	4	13
98	тому же	5	13
99	никогда не	3	12
100	и к	4	12
101	блудном сыне	7	12
102	как это	2	12
103	произведения как	2	12
104	еще не	20	12
105	как в	16	12
106	внутренней речи	5	12
107	в конечном	2	12
108	сводится к	7	12
109	ивана петровича	3	12
110	и сам	2	12
111	в свою	3	11
112	это не	5	11
113	в повестях	3	11
114	по своей	15	11
115	повестях белкина	3	11
116	конечном счете	2	11
117	и как	9	11
118	не с	4	11
119	можно сказать	7	11
120	той же	2	11
121	в той	2	11
122	имеем дело	3	11
123	не следует	4	11
124	едва ли	2	10
125	все же	8	10
126	текста и	2	10
127	в произведении	3	10
128	петровича белкина	3	10
129	на себя	2	10
130	однако в	3	10
131	один из	3	10
132	того или	3	10
133	и одновременно	3	10
134	подобно тому	4	10
135	с одной	12	10
136	перед лицом	2	10
137	именно в	5	10
138	со своей	2	10
139	совпадает с	4	10
140	отношения к	2	10
141	в своем	11	9
142	значении этого	4	9
143	того что	4	9
144	не столько	3	9
145	как уже	5	9
146	одной стороны	12	9
147	повести белкина	2	9
148	крайней мере	3	9
149	свою очередь	3	9
150	имеет место	4	9
151	особого рода	3	9
152	или иного	2	9
153	другой стороны	5	9
154	за пределы	2	9
155	во всех	6	9
156	в результате	3	9
157	художественное целое	2	9
158	по крайней	3	9
159	что касается	2	9
160	том чтобы	2	9
161	в русской	4	9
162	личности в	3	9
163	тому как	5	9
164	присутствия в	2	9
165	и того	6	9
166	говорить о	3	9
167	таким образом	4	9
168	вместе с	3	9
169	я с	2	8
170	перед нами	4	8
171	о чем	4	8
172	роль в	10	8
173	в ходе	5	8
174	не всегда	2	8
175	что он	6	8
176	дело с	2	8
177	одной из	4	8
178	и все	5	8
179	в контексте	3	8
180	коммуникативное событие	8	8
181	одного из	5	8
182	воспринимающего сознания	2	8
183	этом отношении	4	8
184	хотя и	3	8
185	в основе	11	8
186	нашего времени	2	8
187	дело не	3	8
188	не является	5	8
189	времени и	5	8
190	в сторону	4	8
191	с точки	3	8
192	свое время	3	7
193	вплоть до	2	7
194	в литературе	2	7
195	картины мира	8	7
196	в другом	5	7
197	в соответствии	4	7
198	в новом	2	7
199	и тем	2	7
200	в году	3	7
201	в свое	3	7
202	художественной целостности	2	7
203	по природе	6	7
204	место в	2	7
205	являет собой	5	7
