N	3gram	Bakhtin_Pr	Analitik
1	в том что	6	25
2	не может быть	8	19
3	по отношению к	5	18
4	в то же	8	16
5	о том что	3	15
6	той или иной	2	14
7	то же время	8	14
8	с другой стороны	3	9
9	по крайней мере	2	9
10	как и в	4	8
11	с точки зрения	13	8
12	в свое время	4	7
13	тем не менее	2	6
14	но и в	2	5
15	большей или меньшей	6	4
16	в соответствии с	2	4
17	на себя внимание	2	4
18	и не может	6	4
19	в этом смысле	5	4
20	тех или иных	2	4
21	сама по себе	2	4
22	то есть в	5	3
23	хотя бы и	2	3
24	в том числе	15	3
25	можно сказать что	6	3
26	дело в том	3	3
27	в зависимости от	3	3
28	более или менее	3	2
29	с самим собою	6	2
30	литературе нового времени	2	2
31	но в то	3	2
32	по своей природе	3	2
33	того и другого	2	2
34	можно было бы	2	2
35	это своего рода	2	2
36	друг с другом	6	2
37	до сих пор	8	2
38	и прежде всего	5	2
39	смысле этого слова	2	2
40	нет и не	3	2
41	а между тем	2	2
42	и в сущности	2	2
43	на то что	2	2
44	в широком смысле	2	2
