N	2gram	Vinokur_Ku	Komedia
1	и в	44	77
2	и не	23	47
3	в том	47	44
4	том что	30	42
5	т е	54	33
6	в г	3	33
7	о том	10	33
8	но и	13	32
9	может быть	25	30
10	таким образом	17	29
11	из них	4	29
12	в то	4	28
13	и его	8	28
14	в этом	31	27
15	потому что	40	27
16	что он	7	26
17	к тому	8	26
18	не только	29	25
19	тому же	2	25
20	вместе с	8	25
21	так как	16	24
22	как и	3	23
23	ни в	3	23
24	что в	25	23
25	что и	5	22
26	если бы	21	22
27	в самом	20	22
28	в конце	5	21
29	так и	10	21
30	а в	7	21
31	то же	12	21
32	ясно что	7	21
33	в его	16	20
34	со стороны	8	19
35	к этому	4	19
36	в этой	8	18
37	и т	62	17
38	тем что	9	17
39	еще не	10	17
40	и здесь	8	17
41	в нем	7	17
42	же время	4	17
43	все же	17	16
44	у него	3	16
45	не менее	12	16
46	при этом	6	16
47	тот же	7	16
48	сих пор	5	16
49	он не	4	16
50	до сих	5	16
51	в своем	4	15
52	не в	18	15
53	точки зрения	25	15
54	между тем	11	15
55	прежде всего	14	15
56	один из	8	15
57	на себя	3	15
58	было бы	28	15
59	в которой	7	15
60	и на	8	15
61	ли не	4	14
62	все это	10	14
63	об этом	4	14
64	в свою	4	14
65	и с	11	14
66	столь же	2	14
67	о чем	2	13
68	то что	14	13
69	так что	5	13
70	самом деле	17	13
71	но в	11	13
72	того же	6	13
73	в них	10	13
74	того чтобы	25	13
75	что она	5	13
76	мы можем	2	13
77	только что	2	13
78	в одном	4	13
79	как раз	10	13
80	так же	8	12
81	с другой	14	12
82	для того	23	12
83	т п	39	12
84	как это	6	12
85	уже в	5	12
86	несмотря на	6	12
87	в качестве	12	12
88	в истории	3	12
89	хотя и	7	12
90	не может	13	12
91	как в	6	12
92	но не	11	12
93	в котором	4	12
94	из которых	3	12
95	по отношению	9	11
96	наряду с	2	11
97	в их	3	11
98	в частности	6	11
99	с тем	5	11
100	что его	2	11
101	речь идет	4	11
102	как мы	2	11
103	и даже	5	11
104	на этот	4	11
105	и для	3	11
106	с ним	5	11
107	в отношении	2	10
108	в целом	5	10
109	к себе	4	10
110	отношение к	2	10
111	ничего не	6	10
112	и все	4	10
113	в чем	2	10
114	что касается	4	10
115	на его	3	10
116	же в	5	10
117	свою очередь	4	10
118	с его	4	10
119	с этим	6	10
120	тем более	2	10
121	с одной	3	10
122	как бы	11	10
123	и что	11	10
124	в тех	4	9
125	отличие от	3	9
126	тому что	3	9
127	одной стороны	2	9
128	однако в	2	9
129	ответ на	2	9
130	и по	4	9
131	в своей	4	9
132	того как	6	9
133	а также	3	9
134	и еще	4	9
135	отношению к	9	9
136	но все	5	9
137	вовсе не	18	9
138	говорить о	5	9
139	только в	15	9
140	в ней	6	9
141	первую очередь	3	8
142	идет о	3	8
143	тех пор	2	8
144	то ни	2	8
145	не знает	4	8
146	то это	3	8
147	связи с	8	8
148	да и	5	8
149	по поводу	2	8
150	другой стороны	12	8
151	можно было	14	8
152	бы в	8	8
153	с этой	4	8
154	что у	3	8
155	что для	3	8
