N	2gram	Voloshinov	RusskieA
1	и в	42	79
2	в том	3	64
3	том что	3	59
4	не только	28	41
5	так как	8	34
6	в этом	10	33
7	как бы	30	31
8	но и	16	31
9	как и	12	28
10	может быть	13	28
11	и на	7	28
12	о том	4	23
13	при этом	9	22
14	это не	3	20
15	как мы	10	20
16	а в	5	20
17	из них	3	19
18	все это	4	18
19	с тем	8	17
20	потому что	7	17
21	то что	9	17
22	об этом	3	17
23	таким образом	8	17
24	вместе с	5	17
25	мы не	9	16
26	один из	4	15
27	у нас	4	14
28	мы видели	5	14
29	для нас	3	14
30	как это	5	14
31	и не	14	14
32	и с	5	14
33	к этому	2	13
34	не может	13	13
35	еще не	3	13
36	как в	3	13
37	уже не	4	13
38	в которых	2	13
39	между собой	2	12
40	этом случае	3	12
41	мы имеем	2	12
42	тем что	2	12
43	а на	2	11
44	но это	2	11
45	мы увидим	5	11
46	его в	4	10
47	так и	7	10
48	между тем	3	10
49	все же	9	10
50	что и	3	10
51	представляет собой	2	10
52	или в	2	10
53	о чем	2	9
54	том же	2	9
55	но в	5	9
56	и все	4	9
57	с ней	2	9
58	то же	16	9
59	но не	2	9
60	так же	4	8
61	того что	4	8
62	как уже	2	8
63	того чтобы	7	8
64	их в	3	8
65	связи с	3	8
66	что это	4	8
67	как например	2	8
68	во всех	6	8
69	для того	9	8
70	в этих	2	8
71	мы должны	10	7
72	ничего не	8	7
73	не в	6	7
74	главным образом	3	7
75	должна была	2	7
76	а с	5	7
77	к нему	2	7
78	было бы	7	7
79	до конца	2	7
80	для этого	2	7
81	из этих	2	7
82	и как	10	7
83	только в	7	7
84	связанные с	2	7
85	а не	7	7
86	с собой	2	6
87	в этой	6	6
88	должно было	3	6
89	должны были	2	6
90	и их	5	6
91	друг друга	2	6
92	в их	2	6
93	не всегда	2	6
94	только на	3	6
95	тому что	5	6
96	к тому	4	6
97	в нем	6	6
98	все эти	3	6
99	связаны с	4	6
100	в качестве	4	6
101	в одном	4	6
102	и пр	4	6
103	видели что	3	6
104	на самом	3	5
105	вопрос о	2	5
106	и потому	2	5
107	в тех	3	5
108	что он	2	5
109	прежде всего	22	5
110	в разных	3	5
111	в свою	6	5
112	с этим	2	5
113	заметить что	3	5
114	в то	9	5
115	в целом	4	5
116	для них	2	5
117	в связи	2	5
118	не было	2	5
119	тот же	2	5
120	в его	6	5
121	можно было	4	5
122	чаще всего	3	5
123	не с	3	5
124	и для	3	5
125	будут рассмотрены	2	5
126	и к	4	5
127	отнюдь не	10	5
128	или даже	2	5
129	с ним	2	5
130	связь между	3	5
131	мы уже	11	5
132	которые в	2	4
133	иное как	2	4
134	не что	4	4
135	влияние на	4	4
136	у них	3	4
137	и при	2	4
138	нас не	2	4
139	связано с	2	4
140	таким же	2	4
141	здесь мы	3	4
142	только тогда	2	4
143	его и	3	4
144	и тогда	2	4
145	этого слова	3	4
146	в основе	3	4
147	и от	7	4
148	по своему	3	4
149	связанных с	5	4
150	а к	3	4
151	несмотря на	3	4
152	и здесь	3	4
153	не просто	4	4
154	кроме того	2	4
155	та же	3	4
156	природы и	2	4
157	что иное	2	4
158	но все	5	4
159	что у	3	4
160	в котором	3	4
161	в своих	2	4
162	этот вопрос	2	4
163	уже в	5	4
164	в ней	8	4
165	вряд ли	3	4
166	в середине	2	4
167	тем и	2	4
168	никогда не	7	3
169	магический обряд	2	3
170	очевидно что	2	3
171	и поэтому	3	3
172	каждый из	2	3
173	в форме	6	3
174	то есть	5	3
175	в виду	3	3
176	и это	8	3
177	точки зрения	11	3
178	связь с	2	3
179	и те	2	3
180	в области	6	3
181	в какой	2	3
182	в ее	3	3
183	в своей	2	3
184	до того	3	3
185	свою очередь	4	3
186	значение и	2	3
187	нет и	3	3
188	место в	2	3
189	хотя и	3	3
190	именно с	2	3
191	увидим что	2	3
192	и то	5	3
193	независимо от	5	3
194	с другими	2	3
195	по отношению	2	3
196	в которой	7	3
197	на него	4	3
198	если бы	4	3
199	на первый	2	3
200	так называемой	4	3
201	отношению к	2	3
202	сих пор	2	3
203	не имеем	3	3
204	на этот	2	3
205	не к	4	3
206	слова в	6	3
207	из которых	3	3
208	с точки	5	3
209	здесь не	2	3
210	и его	7	3
211	как только	4	3
212	что именно	4	3
213	тому же	2	3
214	уже видели	3	3
215	и следовательно	5	2
216	в себе	10	2
217	на эту	2	2
218	и вообще	2	2
219	перед нами	3	2
220	само собой	4	2
221	но даже	2	2
222	за столом	2	2
223	в конце	6	2
224	отношение к	2	2
225	и наконец	5	2
226	должен быть	2	2
227	и тем	7	2
228	он должен	3	2
