N	2gram	Vygotskiy_	Sovremen
1	не может	17	17
2	точки зрения	19	12
3	может быть	33	12
4	таким образом	21	11
5	мы не	7	9
6	не можем	4	7
7	и в	65	7
8	в этом	37	7
9	и не	20	6
10	ничего не	4	6
11	как и	12	6
12	в результате	3	6
13	каждый раз	2	6
14	мы можем	12	6
15	что же	3	5
16	с точки	11	5
17	все эти	7	5
18	и наконец	2	5
19	см рис	2	5
20	прежде всего	2	5
21	мы видели	7	4
22	это не	7	4
23	не только	16	4
24	в том	46	4
25	мы должны	3	4
26	как бы	29	4
27	их в	4	4
28	так как	13	4
29	если мы	19	4
30	в целом	8	4
31	жизни и	6	4
32	вместе с	10	4
33	а в	9	4
34	из них	10	4
35	для нас	14	3
36	и мы	19	3
37	он может	2	3
38	видели что	2	3
39	когда мы	5	3
40	но в	5	3
41	с самого	10	3
42	при этом	10	3
43	из двух	4	3
44	но мы	4	3
45	не в	12	3
46	все же	10	3
47	у всех	4	3
48	он в	3	3
49	как он	2	3
50	было бы	22	3
51	в себе	9	3
52	еще не	3	3
53	одна из	6	3
54	у нас	4	3
55	и все	14	3
56	все это	12	3
57	в нем	8	3
58	между собой	2	3
59	а не	11	3
60	в первом	3	3
61	и к	5	3
62	на две	3	3
63	что она	34	3
64	в этой	20	3
65	при таком	4	3
66	мы получим	4	3
67	то же	17	3
68	в одном	9	3
69	отличается от	2	3
70	самого начала	10	3
71	отнюдь не	2	3
72	в конце	5	3
73	ясно что	11	3
74	с совершенно	3	2
75	но все	2	2
76	на его	2	2
77	на этот	2	2
78	и по	2	2
79	который как	2	2
80	не знаем	2	2
81	же самое	14	2
82	всяком случае	6	2
83	что все	10	2
84	конечно в	3	2
85	роль в	2	2
86	каждого из	4	2
87	можно назвать	2	2
88	а на	2	2
89	той же	6	2
90	не могут	2	2
91	мы видим	15	2
92	в его	11	2
93	к чему	6	2
94	он должен	2	2
95	с этим	11	2
96	и что	29	2
97	то и	3	2
98	во всяком	6	2
99	и во	3	2
100	с другом	2	2
101	что такое	2	2
102	что при	5	2
103	свою очередь	3	2
104	из этих	6	2
105	так сказать	6	2
106	ее на	2	2
107	в самом	41	2
108	она может	4	2
109	и есть	3	2
110	или же	2	2
111	в виде	5	2
112	еще более	2	2
113	знаем что	4	2
114	что в	36	2
115	совершенно не	8	2
116	все те	5	2
117	в таком	6	2
118	в которой	8	2
119	у него	6	2
120	из одного	3	2
121	такой же	2	2
122	в некоторых	2	2
123	самом деле	33	2
124	со всеми	2	2
125	уже не	2	2
126	в свою	6	2
127	по мнению	2	2
128	если же	3	2
129	в один	4	2
130	только один	2	2
131	же мы	2	2
132	тот же	5	2
133	с одной	7	2
134	на этом	6	2
135	как мы	12	2
136	говорить о	3	2
137	мы знаем	3	2
138	что это	19	2
139	из которых	6	2
140	как известно	2	2
141	и даже	4	2
142	он приводит	4	2
143	в которую	3	2
144	на их	3	2
145	друг с	2	2
