N	3gram	Vinokur_Vv	Psycholo
1	в том что	15	78
2	для того чтобы	22	70
3	в самом деле	6	51
4	и т п	5	37
5	заключается в том	3	36
6	о том что	13	34
7	то же самое	3	31
8	с точки зрения	4	29
9	с одной стороны	4	28
10	до сих пор	7	23
11	не может быть	10	23
12	и в самом	3	22
13	и т д	39	22
14	с другой стороны	5	20
15	в том чтобы	5	20
16	в зависимости от	3	15
17	во всяком случае	5	14
18	в этом отношении	4	14
19	само по себе	4	14
20	можно было бы	4	13
21	и в этом	4	13
22	сам по себе	2	12
23	в конце концов	2	12
24	одной и той	2	12
25	этой точки зрения	2	12
26	и той же	2	12
27	что в этом	2	12
28	подобно тому как	2	11
29	по сравнению с	4	11
30	только в том	2	10
31	с этой точки	2	10
32	вместе с тем	3	10
33	не в том	2	10
34	и то что	3	10
35	потому что он	2	9
36	в данном случае	4	9
37	в отличие от	4	9
38	точно так же	2	9
39	и то же	2	8
40	что в нем	2	8
41	смысле этого слова	2	8
42	по этому поводу	3	8
43	с тем что	3	8
44	на этот вопрос	5	7
45	состоит в том	2	7
46	в свою очередь	2	7
47	можно сказать что	3	7
48	одно и то	2	7
49	в этом смысле	10	7
50	тем не менее	9	6
51	сама по себе	3	6
52	не что иное	5	6
53	и в том	4	6
54	что иное как	5	6
55	и что следовательно	2	6
56	не только в	4	6
57	в собственном смысле	3	5
58	в том виде	3	5
59	в целом ряде	2	5
60	вопрос о том	5	4
61	а между тем	2	4
62	как будто бы	2	4
63	в применении к	6	4
64	вовсе не в	2	4
65	одного и того	2	4
66	имеет дело с	2	4
67	принять во внимание	2	4
68	и того же	2	4
69	же самое что	2	4
70	после того как	2	3
71	может быть и	2	3
72	в том или	2	3
73	ответ на этот	2	3
74	к выводу что	6	3
75	в этом случае	6	3
76	не могут быть	2	3
77	именно на этом	2	3
78	в то же	6	3
79	в прямом смысле	4	3
80	по отношению к	4	3
81	то же время	6	3
82	обратить внимание на	2	3
83	том или ином	2	3
84	дело в том	3	3
85	той или иной	3	2
86	как мы видели	3	2
87	в первом случае	2	2
88	но вместе с	2	2
89	того чтобы он	2	2
90	на задний план	2	2
91	именно в этом	3	2
92	того чтобы понять	3	2
93	есть не что	3	2
94	в связи с	2	2
95	мере в какой	6	2
96	по своему значению	2	2
97	и в особенности	4	2
98	не до конца	2	2
99	это еще не	2	2
100	в чем же	3	2
101	что может быть	3	2
102	самой своей природе	2	2
103	тех или иных	3	2
104	по крайней мере	4	2
105	т д все	2	2
106	мы уже знаем	2	2
107	может быть в	2	2
108	в большей мере	2	2
109	по самой своей	2	2
110	тем или иным	2	2
111	одной стороны и	3	2
112	в значительной мере	2	2
113	и тем не	3	2
114	как она есть	2	2
115	чтобы понять что	3	2
116	так или иначе	4	2
117	и именно в	3	2
