N	3gram	Vygotskiy_	TeoriaLi
1	в том что	41	10
2	по отношению к	3	10
3	в отличие от	8	7
4	состоит в том	4	6
5	с другой стороны	5	6
6	более или менее	3	6
7	того или иного	2	6
8	для того чтобы	14	5
9	не может быть	5	5
10	и того же	5	4
11	одного и того	5	4
12	с точки зрения	11	3
13	с одной стороны	8	3
14	в этом смысле	7	3
15	в том числе	3	3
16	тем не менее	6	3
17	той или иной	2	3
18	в связи с	8	3
19	в свою очередь	3	3
20	одно и то	6	2
21	и то же	6	2
22	в известном смысле	2	2
23	что в основе	7	2
24	этой точки зрения	4	2
25	в самом деле	4	2
26	а с другой	4	2
27	том числе и	3	2
28	с этой точки	4	2
29	то что они	3	2
30	и тем самым	3	2
31	включает в себя	2	2
32	как и в	3	2
