N	3gram	Voloshinov	PoTuStor
1	с точки зрения	15	6
2	на самом деле	4	4
3	с самого начала	5	4
4	по ту сторону	4	4
5	ни в чем	4	3
6	в большинстве случаев	5	3
7	можно сказать что	5	3
8	до сих пор	3	3
9	к матери и	2	3
10	в этом смысле	2	3
11	и его ученики	4	3
12	может быть это	2	3
13	в чем не	4	3
14	и пр и	2	3
15	во всяком случае	8	3
16	не может быть	14	3
17	фрейд и его	4	3
18	мы полагаем что	2	3
19	является по ранку	2	2
20	а потому и	3	2
21	всей жизни человека	3	2
22	я и оно	4	2
23	но в общем	3	2
24	метод свободного фантазирования	4	2
25	все то что	3	2
26	связанных с ними	2	2
27	протяжении всей жизни	4	2
28	о том что	3	2
29	мысли и образы	3	2
30	в конечном счете	3	2
31	явные образы сновидения	2	2
32	в систему бессознательного	2	2
33	в его целом	2	2
34	из тех же	4	2
35	с вытесненным представлением	2	2
36	пр и пр	2	2
37	об эрогенных зонах	3	2
38	абстрактный биологический организм	2	2
39	чувств и желаний	3	2
40	мы можем сказать	5	2
41	и может быть	2	2
42	не могут быть	4	2
43	его все позволено	2	2
44	испытание с точки	2	2
45	пробиться в сознание	2	2
46	с его все	2	2
47	мир по ту	2	2
48	рассеяно по всему	2	2
49	в самом деле	10	2
50	всей последующей жизни	2	2
51	на протяжении всей	6	2
52	фрейд и фрейдисты	2	2
53	на две группы	2	2
