N	2gram	Berdyaev_V	Russkaja
1	и не	20	19
2	в том	3	17
3	в этом	4	17
4	и в	16	14
5	то что	9	13
6	но и	5	10
7	не только	2	9
8	том что	2	9
9	во всяком	2	9
10	того чтобы	2	8
11	прежде всего	2	8
12	к богу	8	7
13	самого себя	2	7
14	к тому	3	7
15	не будет	2	7
16	с тем	2	6
17	и для	3	6
18	все это	5	6
19	что он	4	6
20	для него	2	6
21	а в	2	5
22	хотя бы	3	5
23	а между	2	5
24	потому что	4	5
25	в нем	4	5
26	в своей	3	5
27	конечно не	2	5
28	во имя	32	5
29	только в	2	5
30	никогда не	3	5
31	между тем	2	5
32	во всех	3	5
33	и то	2	4
34	что в	3	4
35	но не	2	4
36	не могут	2	4
37	не в	3	4
38	как и	4	4
39	в мире	5	4
40	как бы	5	4
41	все что	4	4
42	можно было	2	4
43	так как	9	4
44	жизни и	3	4
45	в его	4	4
46	на земле	7	4
47	да и	2	3
48	одна из	2	3
49	то это	3	3
50	что все	4	3
51	но мы	2	3
52	на том	2	3
53	должно быть	3	3
54	не есть	6	3
55	и потому	7	3
56	в конце	3	3
57	для них	2	3
58	что и	3	3
59	мира от	4	3
60	лишь в	3	3
61	и во	2	3
62	говорить о	4	3
63	еще не	8	3
64	того что	5	3
65	что они	7	3
66	не было	3	3
67	и будут	2	3
68	и т	2	3
69	тем что	2	3
70	всех людей	3	2
71	не так	2	2
72	не к	2	2
73	ее в	2	2
74	тому что	3	2
75	но в	3	2
76	любовь к	3	2
77	ни в	3	2
78	в котором	4	2
79	их в	3	2
80	на себя	5	2
81	людей и	2	2
82	в ней	4	2
83	уже не	2	2
84	во главе	2	2
85	если не	3	2
86	а не	7	2
87	для нас	2	2
88	по этому	3	2
89	от него	2	2
90	не нужна	3	2
91	от своей	2	2
92	к чему	3	2
93	и что	3	2
94	но это	3	2
95	все эти	3	2
96	они будут	4	2
97	а с	2	2
98	и тогда	2	2
99	в этих	3	2
100	раз навсегда	2	2
101	и есть	4	2
102	должна быть	3	2
103	его и	2	2
104	за то	3	2
105	с ним	2	2
