N	3gram	Vinokur_Ku	Istorich
1	и т д	21	142
2	с другой стороны	12	46
3	до сих пор	5	30
4	в этом случае	4	29
5	с одной стороны	2	28
6	так же как	3	27
7	мы знаем что	2	26
8	в том что	23	25
9	не может быть	5	24
10	тем не менее	9	23
11	вместе с тем	3	23
12	но все же	3	23
13	точно так же	4	22
14	о том что	6	22
15	не только в	4	19
16	в связи с	4	17
17	после того как	2	15
18	о том как	3	15
19	по отношению к	8	14
20	на то что	3	14
21	мы увидим что	2	13
22	в тех случаях	2	11
23	что иное как	2	11
24	т е в	3	11
25	не что иное	2	11
26	можно было бы	11	10
27	тех случаях когда	2	10
28	более или менее	3	9
29	в таких случаях	3	9
30	по мере того	3	8
31	на этот вопрос	3	8
32	в зависимости от	7	8
33	мере того как	3	8
34	во всяком случае	8	7
35	дело не в	3	7
36	в большинстве случаев	2	7
37	смысле этого слова	2	7
38	этой точки зрения	4	6
39	с этой точки	3	6
40	на самом деле	3	5
41	для того чтобы	21	5
42	так и в	2	5
43	в отличие от	3	5
44	т д и	3	5
45	в том чтобы	9	5
46	поставить вопрос о	2	4
47	состоит в том	4	4
48	можно сказать что	2	4
49	с точки зрения	16	4
50	сами по себе	2	4
51	и тем не	4	4
52	так или иначе	3	4
53	только тогда когда	2	3
54	что мы имеем	2	3
55	в соответствии с	5	3
56	таким образом в	2	3
57	то же в	2	3
58	к тому что	2	3
59	не в том	5	3
60	само по себе	6	3
61	в том смысле	2	3
62	внимание на то	2	3
63	в иных случаях	3	3
64	в силу того	2	2
65	большую роль в	2	2
66	большей или меньшей	2	2
67	в самом деле	14	2
68	и в том	2	2
69	ничего общего с	2	2
70	хотя бы в	4	2
71	и потому что	4	2
72	все это не	3	2
73	не потому что	4	2
74	т д это	2	2
75	к тому чтобы	2	2
76	уже не может	3	2
77	в прямой связи	2	2
78	что в них	2	2
79	том что он	4	2
80	все же и	3	2
81	силу того что	2	2
82	то обстоятельство что	15	2
83	но в том-то	2	2
84	и т п	39	2
85	только в том	5	2
86	это все же	2	2
87	может быть только	2	2
88	только потому что	11	2
89	в свою очередь	4	2
90	хотя бы на	2	2
91	а в том	2	2
