N	2gram	Bakhtin_fo	KulturaY
1	и т	21	143
2	т п	18	93
3	и в	84	84
4	в том	16	74
5	потому что	11	68
6	не только	16	60
7	точки зрения	14	59
8	в этом	41	57
9	было бы	2	53
10	и не	19	52
11	может быть	18	47
12	том что	7	44
13	того чтобы	11	44
14	что в	9	44
15	т д	3	42
16	для того	12	41
17	в самом	9	41
18	у нас	2	38
19	самом деле	2	37
20	хотя бы	2	37
21	так как	12	36
22	с точки	9	36
23	таким образом	14	33
24	а не	7	33
25	если бы	6	32
26	не в	10	30
27	прежде всего	28	30
28	в его	19	30
29	и пр	2	30
30	все же	12	29
31	того что	5	28
32	все эти	12	28
33	уже не	5	26
34	не может	8	25
35	то что	13	25
36	вовсе не	20	25
37	вопрос о	2	24
38	еще не	8	24
39	с другой	4	24
40	так и	17	23
41	то же	18	23
42	только в	12	23
43	с помощью	5	23
44	во всяком	5	20
45	но и	14	20
46	по себе	3	20
47	что он	2	19
48	но в	16	19
49	речи в	2	19
50	тем что	4	19
51	о том	4	19
52	связи с	14	18
53	все это	10	18
54	в качестве	6	18
55	к тому	6	18
56	с тем	5	18
57	в сущности	5	18
58	как бы	11	18
59	и с	10	18
60	вместе с	9	18
61	это не	8	17
62	как раз	13	17
63	как это	2	17
64	в той	5	17
65	слова и	4	17
66	в виду	5	16
67	ничего не	9	16
68	что не	3	16
69	что и	5	16
70	тот же	4	16
71	но не	9	16
72	по отношению	3	15
73	один из	5	15
74	а в	6	15
75	при этом	8	15
76	в данном	4	15
77	должно быть	6	15
78	целый ряд	2	15
79	лишь в	8	15
80	ни к	3	15
81	именно в	5	15
82	не было	8	15
83	как на	2	15
84	в нашем	3	15
85	в них	11	14
86	в связи	13	14
87	хотя и	5	14
88	как мы	19	14
89	сказать что	4	14
90	мы имеем	2	14
91	отношению к	5	14
92	сих пор	4	14
93	также и	6	14
94	если мы	2	14
95	и на	13	14
96	в ней	4	14
97	до сих	4	14
98	не могут	4	13
99	по существу	17	13
100	в пределах	8	13
101	в этой	3	13
102	в которых	4	13
103	для нас	2	13
104	там где	4	13
105	и его	26	13
106	той же	2	13
107	с этой	3	12
108	как в	10	12
109	а только	2	12
110	того же	9	12
111	тогда когда	2	12
112	могут быть	7	12
113	этого слова	2	12
114	в результате	6	12
115	однако не	2	12
116	ясно что	2	12
117	еще и	3	11
118	в таких	2	11
119	или иной	4	11
120	должен быть	2	11
121	в их	9	11
122	в своем	8	11
123	те же	5	11
124	из этих	5	11
125	в нем	28	11
126	этом отношении	5	11
127	совершенно не	3	11
128	и здесь	2	11
129	и то	5	11
130	уже в	5	11
131	он не	6	11
132	в каком	2	10
133	так же	7	10
134	в то	13	10
135	к этому	5	10
136	они не	4	10
137	как и	15	10
138	ту же	4	10
139	тех же	2	10
140	с этим	11	10
141	тем более	4	10
142	в особенности	15	10
143	на фоне	3	10
144	конечно не	7	10
145	в целом	2	9
146	здесь не	5	9
147	что все	4	9
148	и для	12	9
149	в своей	2	9
150	можно сказать	2	9
151	рядом с	4	9
152	а также	5	9
153	в которой	3	9
154	и вот	2	9
155	не имеет	5	9
156	ни в	9	9
157	но для	2	9
158	что мы	2	9
159	и есть	3	9
160	в частности	11	8
161	мы видели	2	8
162	что на	3	8
163	в чем	3	8
164	с одной	5	8
165	был бы	3	8
166	что они	3	8
167	с его	10	8
168	да и	4	8
169	по преимуществу	4	8
170	и как	12	8
171	об этом	3	8
172	в этих	6	8
173	но все	6	8
174	далеко не	3	8
175	отнюдь не	7	8
176	в таком	4	8
177	тому же	2	8
178	же в	6	8
179	до конца	5	7
180	в свою	2	7
181	идет о	2	7
182	в процессе	4	7
183	в поэзии	2	7
184	как он	4	7
185	всякого рода	3	7
186	и потому	4	7
187	была бы	2	7
188	не знает	4	7
189	к вопросу	2	7
190	она не	2	7
191	одной стороны	3	7
192	например в	7	7
193	когда мы	2	7
194	так сказать	14	7
195	указать на	2	7
196	же и	2	7
197	в истории	6	7
198	и более	3	7
199	в самой	3	7
200	и должно	2	7
201	есть в	3	7
202	в котором	8	7
203	с ним	5	7
204	в одном	10	7
205	внимание на	2	7
206	данном случае	2	6
207	его к	2	6
208	в себе	7	6
209	роль в	12	6
210	на этом	2	6
211	отличие от	3	6
212	которые в	2	6
213	от этого	4	6
214	на этой	4	6
215	на себя	2	6
216	в отличие	3	6
217	не столько	2	6
218	в соответствии	2	6
219	в ее	6	6
220	должны быть	2	6
221	той или	3	6
222	не на	4	6
223	в корне	2	6
224	мы не	4	6
225	прежде чем	3	6
226	или в	3	6
227	только для	2	6
228	же время	13	6
229	романа в	7	6
230	оно не	3	6
231	соответствии с	2	6
232	если не	3	6
233	на основе	5	6
234	тем же	3	6
235	никогда не	8	5
236	в отношении	5	5
237	и к	4	5
238	мы должны	2	5
239	в форме	5	5
240	к себе	8	5
241	в другом	2	5
242	в конце	11	5
243	и у	8	5
244	здесь как	3	5
245	более что	2	5
246	так что	4	5
247	по своему	3	5
248	вопросу о	3	5
249	широком смысле	3	5
250	так в	2	5
251	смысле слова	4	5
252	и от	3	5
253	время в	7	5
254	и он	3	5
255	и еще	3	5
256	всех этих	9	5
257	не как	2	5
258	и даже	5	5
259	кроме того	7	5
260	одного и	6	5
261	у него	8	5
262	нас в	3	5
263	лишь как	3	5
264	на протяжении	3	5
265	отношение к	5	5
266	конечно и	5	5
267	и является	2	5
268	еще более	7	5
269	есть не	4	5
270	и их	11	5
271	и того	7	5
272	точка зрения	4	5
273	и только	3	5
274	мы находим	2	5
275	связь между	2	5
276	чем в	3	5
277	не о	2	4
278	все они	4	4
279	его в	8	4
280	не имеют	4	4
281	о чем	4	4
282	в каждом	2	4
283	уже на	3	4
284	точку зрения	3	4
285	всего в	4	4
286	характер и	8	4
287	одно из	3	4
288	и все	10	4
289	и было	4	4
290	себе и	4	4
291	в различных	2	4
292	во втором	2	4
293	между ними	5	4
294	же как	2	4
295	что даже	2	4
296	почти всегда	2	4
297	здесь мы	4	4
298	всего этого	3	4
299	то в	2	4
300	по сравнению	3	4
301	сюда же	2	4
302	но дело	2	4
303	лишь что	2	4
304	как можно	3	4
305	в данной	2	4
306	и по	5	4
307	мы можем	2	4
308	мы увидим	2	4
309	в условиях	8	4
310	формы и	4	4
311	отношения к	7	4
312	не к	2	4
313	в смысле	5	4
314	связанные с	5	4
315	и это	5	4
316	но на	4	4
317	выражение в	3	4
318	из них	8	4
319	в ряду	2	4
320	в стороне	2	4
321	но он	4	4
322	и становится	2	4
323	мы и	4	4
324	наконец и	4	3
325	вернемся к	2	3
326	следовательно и	3	3
327	и следовательно	5	3
328	том как	2	3
329	каждый из	2	3
330	в это	5	3
331	и идеи	3	3
332	что здесь	2	3
333	наряду с	7	3
334	а как	3	3
335	и другие	6	3
336	том же	4	3
337	за ними	3	3
338	в одно	3	3
339	в романе	40	3
340	его и	2	3
341	и дает	3	3
342	в буквальном	2	3
343	в него	2	3
344	сплошь и	2	3
345	значение для	3	3
346	и тех	2	3
347	к ним	3	3
348	мы наблюдаем	2	3
349	в более	2	3
350	именно как	4	3
351	ряду с	2	3
352	своей собственной	3	3
353	форм в	2	3
354	большинстве случаев	2	3
355	более того	4	3
356	на них	2	3
357	и рядом	2	3
358	в начале	3	3
359	не для	3	3
360	и может	2	3
361	на котором	2	3
362	на материале	3	3
363	во время	7	3
364	значение и	7	3
365	из самых	3	3
366	в дальнейшем	10	3
367	даже не	2	3
368	лучше всего	2	3
369	значение в	5	3
370	отсюда и	3	3
371	вопрос об	2	3
372	на минуту	2	3
373	только и	5	3
374	но она	2	3
375	смысла и	2	3
376	по аналогии	2	3
377	менее всего	2	3
378	нет и	4	3
379	то время	4	3
380	сколько угодно	2	3
381	та же	4	3
382	в других	9	3
383	в последнем	3	3
384	как у	2	3
385	одних и	2	3
386	быть только	4	3
387	не могло	5	3
388	для него	5	3
389	все что	2	3
390	в большинстве	3	3
391	жизнь в	2	3
392	со своей	3	3
393	же что	3	3
394	раз и	3	3
395	к жизни	2	3
396	с их	2	3
397	и уже	4	3
398	в некоторых	4	3
399	с большой	3	3
400	мы будем	5	3
401	в широком	3	2
402	лежат в	2	2
403	все более	2	2
404	во все	4	2
405	характерное для	2	2
406	ни была	2	2
407	в одной	2	2
408	связанных с	3	2
409	в глаза	3	2
