N	2gram	Bakhtin_fo	Russkaja
1	не может	8	22
2	и не	19	19
3	в том	16	17
4	в этом	41	17
5	с другом	5	14
6	и в	84	14
7	друг с	5	14
8	то что	13	13
9	самим собой	2	12
10	точки зрения	14	11
11	то же	18	11
12	таким образом	14	11
13	в то	13	10
14	но и	14	10
15	же время	13	10
16	не только	16	9
17	том что	7	9
18	может быть	18	9
19	в себе	7	9
20	с точки	9	9
21	во всяком	5	9
22	того чтобы	11	8
23	как на	2	8
24	прежде всего	28	8
25	и с	10	7
26	к тому	6	7
27	о том	4	7
28	в данном	4	7
29	мы должны	2	7
30	отнюдь не	7	7
31	ни к	3	7
32	самом деле	2	7
33	с тем	5	6
34	и для	12	6
35	для всех	3	6
36	и к	4	6
37	если бы	6	6
38	все это	10	6
39	для того	12	6
40	что он	2	6
41	в своем	8	6
42	для него	5	6
43	вопрос о	2	5
44	или иной	4	5
45	а в	6	5
46	было бы	2	5
47	хотя бы	2	5
48	между собой	5	5
49	и на	13	5
50	потому что	11	5
51	при этом	8	5
52	в нем	28	5
53	он должен	2	5
54	жизни в	11	5
55	в своей	2	5
56	себя и	6	5
57	конечно не	7	5
58	только в	12	5
59	никогда не	8	5
60	и только	3	5
61	он не	6	5
62	сих пор	4	5
63	во всех	13	5
64	по существу	17	5
65	до сих	4	5
66	и то	5	4
67	что в	9	4
68	но не	9	4
69	его в	8	4
70	к вопросу	2	4
71	все же	12	4
72	себя в	2	4
73	не могут	4	4
74	не в	10	4
75	как и	15	4
76	в мире	4	4
77	как бы	11	4
78	все что	2	4
79	так как	12	4
80	тогда когда	2	4
81	и т.д	2	4
82	которой он	3	4
83	жизни и	12	4
84	в его	19	4
85	в их	9	4
86	на земле	2	4
87	точку зрения	3	4
88	во всем	3	4
89	в этой	3	4
90	в совершенно	3	4
91	себе и	4	4
92	вместе с	9	4
93	в корне	2	4
94	одной из	3	3
95	данном случае	2	3
96	да и	4	3
97	все они	4	3
98	одна из	3	3
99	в большинстве	3	3
100	что все	4	3
101	с нею	2	3
102	вопросу о	3	3
103	именно в	5	3
104	из этих	5	3
105	должно быть	6	3
106	только к	3	3
107	всех этих	9	3
108	и потому	4	3
109	в другом	2	3
110	в значительной	3	3
111	в конце	11	3
112	из них	8	3
113	в самом	9	3
114	и как	12	3
115	для них	3	3
116	что и	5	3
117	или в	3	3
118	лишь в	8	3
119	он сам	2	3
120	и во	13	3
121	борьбе с	4	3
122	той или	3	3
123	и по	5	3
124	связи с	14	3
125	еще не	8	3
126	того что	5	3
127	в качестве	6	3
128	что они	3	3
129	друг друга	3	3
130	не было	8	3
131	и т	21	3
132	мы говорили	3	3
133	тем что	4	3
134	а следовательно	4	3
135	то в	2	3
136	не о	2	2
137	и должно	2	2
138	в течение	2	2
139	и от	3	2
140	не к	2	2
141	но она	2	2
142	с этим	11	2
143	в таких	2	2
144	есть и	4	2
145	и те	4	2
146	следовательно и	3	2
147	большинстве случаев	2	2
148	ее в	2	2
149	для себя	8	2
150	на этой	4	2
151	она не	2	2
152	но в	16	2
153	ни в	9	2
154	в котором	8	2
155	так же	7	2
156	их в	6	2
157	на себя	2	2
158	на почве	2	2
159	в начале	3	2
160	от друга	2	2
161	людей и	2	2
162	в ней	4	2
163	уже не	5	2
164	время в	7	2
165	весьма часто	2	2
166	в некоторых	4	2
167	в результате	6	2
168	по отношению	3	2
169	но для	2	2
170	с самим	6	2
171	даже не	2	2
172	бы нас	2	2
173	их к	3	2
174	если не	3	2
175	и даже	5	2
176	а не	7	2
177	и тот	2	2
178	для нас	2	2
179	по этому	2	2
180	по себе	3	2
181	в порядке	4	2
182	мы можем	2	2
183	целый ряд	2	2
184	место в	4	2
185	к себе	8	2
186	в борьбе	2	2
187	если они	2	2
188	разумеется что	2	2
189	в других	9	2
190	по самому	3	2
191	и является	2	2
192	и вот	2	2
193	другом и	2	2
194	все эти	12	2
195	том же	4	2
196	совершенно не	3	2
197	только для	2	2
198	и наконец	6	2
199	самому своему	2	2
200	является не	2	2
201	в этих	6	2
202	друг от	2	2
203	только на	3	2
204	в частности	11	2
205	значительной мере	2	2
206	в таком	4	2
207	и есть	3	2
208	всю эту	2	2
209	так что	4	2
210	во время	7	2
211	друг другу	4	2
212	его и	2	2
213	отношения к	7	2
214	всем этим	4	2
215	с ним	5	2
216	быть и	4	2
217	у него	8	2
218	мы уже	17	2
219	и более	3	2
220	их не	2	2
221	ясно что	2	2
