N	3gram	Vygotskiy_	Russkaja
1	друг с другом	2	14
2	с точки зрения	11	9
3	в том что	20	7
4	для того чтобы	17	6
5	во всяком случае	6	6
6	на самом деле	3	6
7	до сих пор	6	5
8	на то что	16	4
9	в том случае	4	4
10	к тому чтобы	4	4
11	не может быть	3	4
12	вместе с тем	3	3
13	том случае если	4	3
14	в лучшем случае	2	3
15	в данном случае	5	3
16	и то что	3	3
17	можно было бы	6	3
18	к тому что	5	2
19	что он не	4	2
20	точно так же	3	2
21	в том и	2	2
22	того или иного	2	2
23	и вместе с	3	2
24	она не может	2	2
25	в противоречие с	2	2
26	только в том	5	2
27	о том что	8	2
28	тот факт что	3	2
29	с другом и	2	2
30	и в другом	2	2
