N	2gram	Losev_Vlad	Marksizm
1	точки зрения	4	69
2	может быть	12	64
3	и в	56	63
4	и не	33	55
5	как бы	5	53
6	не может	12	47
7	и его	12	41
8	в этом	30	39
9	таким образом	6	38
10	как мы	17	32
11	лишь в	3	30
12	не только	35	29
13	в нем	7	28
14	то же	10	28
15	но и	26	27
16	связи с	7	25
17	прежде всего	5	24
18	как и	7	24
19	в самом	3	24
20	так и	11	23
21	только в	11	23
22	в том	26	22
23	то что	30	22
24	а не	5	22
25	при этом	5	20
26	так сказать	2	20
27	для него	16	20
28	том что	22	19
29	не в	12	19
30	в его	18	19
31	если бы	2	19
32	но в	19	18
33	и для	4	18
34	вовсе не	8	18
35	все же	11	17
36	в сущности	2	17
37	в то	15	16
38	и как	7	16
39	что он	22	15
40	в связи	9	15
41	во всех	4	15
42	отнюдь не	3	15
43	в русском	2	15
44	же время	7	15
45	хотя бы	5	14
46	ничего не	4	13
47	так же	4	13
48	мы не	2	13
49	того чтобы	4	13
50	было бы	7	13
51	в своей	7	13
52	и здесь	3	13
53	то ни	2	13
54	что в	24	13
55	выражение в	2	12
56	в результате	6	12
57	а в	20	12
58	того же	11	12
59	бы то	2	12
60	в высшей	2	12
61	для того	4	12
62	он не	13	12
63	друг друга	3	11
64	как в	6	11
65	и все	8	11
66	к нему	6	11
67	и на	7	11
68	в ней	5	11
69	не столько	4	11
70	все эти	6	11
71	и от	6	11
72	так как	11	11
73	еще не	2	11
74	французском языке	3	11
75	и что	11	11
76	мы уже	8	11
77	никогда не	15	10
78	его в	3	10
79	и потому	8	10
80	в основном	5	10
81	здесь мы	4	10
82	здесь в	2	10
83	во всяком	8	10
84	с его	15	10
85	сказать что	14	10
86	к этому	11	10
87	в своем	10	10
88	совершенно не	2	10
89	с другой	3	10
90	именно в	4	10
91	конечно не	5	10
92	в таком	2	10
93	в себе	5	9
94	это не	3	9
95	только на	3	9
96	одной из	2	9
97	и это	4	9
98	к тому	5	9
99	в истории	4	9
100	в нашем	5	9
101	что это	2	9
102	не имеет	2	9
103	отношении к	2	9
104	ни в	4	9
105	в каком	3	8
106	в отношении	5	8
107	в науке	3	8
108	в их	2	8
109	мы знаем	5	8
110	с этим	3	8
111	настоящее время	2	8
112	что не	3	8
113	что и	6	8
114	в настоящее	2	8
115	другой стороны	3	8
116	за пределы	3	8
117	мысли и	5	8
118	и даже	23	8
119	кроме того	12	8
120	у нас	11	8
121	на то	7	8
122	в свою	3	8
123	и с	27	8
124	но что	5	8
125	не было	12	8
126	у него	28	8
127	ясно что	2	8
128	до конца	8	7
129	от него	3	7
130	свою очередь	2	7
131	того что	6	7
132	по себе	3	7
133	те же	2	7
134	место в	2	7
135	с ними	2	7
136	в качестве	7	7
137	в этой	4	7
138	в начале	7	7
139	в этих	5	7
140	о том	13	7
141	в котором	10	7
142	той же	6	7
143	он сам	3	7
144	как раз	7	7
145	не есть	4	6
146	языке в	2	6
147	мы должны	3	6
148	то есть	5	6
149	от своего	2	6
150	он и	8	6
151	что же	11	6
152	все это	7	6
153	тот же	7	6
154	из этих	5	6
155	же в	3	6
156	между ними	2	6
157	уже не	6	6
158	всяком случае	8	6
159	в той	2	6
160	не к	2	6
161	этом отношении	2	5
162	но как	6	5
163	о чем	6	5
164	в конце	22	5
165	от того	2	5
166	и у	4	5
167	то мы	3	5
168	и тем	2	5
