N	2gram	Tiupa_Narr	NovoeSre
1	а не	27	17
2	и в	22	16
3	не может	16	16
4	нового времени	2	12
5	и не	34	11
6	что в	6	9
7	жизни и	7	8
8	в том	20	8
9	он не	8	8
10	не будет	2	7
11	может быть	24	7
12	как и	15	7
13	в этом	23	7
14	никогда не	8	6
15	лишь в	3	6
16	не в	12	6
17	не знает	2	6
18	но это	2	6
19	с его	6	6
20	не только	50	5
21	в жизни	9	5
22	в нем	9	5
23	с ее	3	5
24	в ней	5	5
25	истории в	8	5
26	и к	7	5
27	по своему	3	4
28	и для	4	4
29	не имеет	3	4
30	прежде всего	7	4
31	не менее	6	4
32	не было	3	4
33	и потому	2	4
34	то что	14	4
35	о том	5	4
36	это не	6	4
37	потому что	7	4
38	и все	7	4
39	в мире	8	3
40	тому как	4	3
41	но и	39	3
42	к жизни	3	3
43	подобно тому	4	3
44	с другой	6	3
45	в ее	4	3
46	она не	2	3
47	к тому	13	3
48	к ее	3	3
49	жизни в	7	3
50	в своей	8	3
51	еще не	6	3
52	к ним	2	3
53	должна быть	2	3
54	как в	9	3
55	сказать что	5	3
56	во всех	2	3
57	это было	3	3
58	не существует	3	3
59	истории не	3	3
60	наряду с	2	3
61	зависит от	3	2
62	в себе	14	2
63	что она	3	2
64	истории а	2	2
65	как будто	4	2
66	и с	3	2
67	одна из	5	2
68	себя в	4	2
69	но не	7	2
70	и т.п	11	2
71	и от	3	2
72	роль в	4	2
73	войны и	4	2
74	того чтобы	7	2
75	хотя бы	4	2
76	же как	2	2
77	а в	19	2
78	все время	2	2
79	но в	10	2
80	том что	15	2
81	не к	4	2
82	мир и	2	2
83	можно назвать	2	2
84	и на	5	2
85	бытия в	2	2
86	все эти	3	2
87	я уже	2	2
88	мы не	5	2
89	на протяжении	12	2
90	можно было	2	2
91	это и	2	2
92	времени в	3	2
93	мира и	2	2
94	у него	13	2
95	времени и	9	2
96	уже не	11	2
97	как это	7	2
98	другой стороны	2	2
99	так же	2	2
100	так и	12	2
101	такого рода	17	2
102	жизни как	2	2
103	но для	5	2
104	одной стороны	5	2
105	быть в	2	2
106	в то	9	2
107	который в	2	2
108	не могла	2	2
109	хотя и	8	2
110	с одной	5	2
111	место в	3	2
112	и даже	4	2
113	более не	3	2
114	в центре	4	2
115	вместе с	3	2
116	я не	5	2
