N	2gram	Tiupa_Disk	SlovoVZh
1	не может	17	16
2	точки зрения	6	14
3	может быть	29	14
4	и его	4	13
5	как бы	9	13
6	и в	27	12
7	таким образом	4	12
8	в нашем	2	11
9	отношению к	13	11
10	по отношению	13	11
11	и не	25	10
12	прежде всего	17	8
13	сказать что	4	7
14	слова и	2	6
15	при этом	22	6
16	в том	29	6
17	в нем	16	6
18	только в	9	6
19	к содержанию	3	6
20	в процессе	6	6
21	в ней	2	6
22	никогда не	3	5
23	как в	16	5
24	в жизни	2	5
25	в виду	2	5
26	можно сказать	7	5
27	но в	15	5
28	том что	27	5
29	то же	12	5
30	как и	27	5
31	героя и	2	5
32	должна быть	2	5
33	хотя бы	3	5
34	а не	35	5
35	то что	10	5
36	и др	3	5
37	отнюдь не	11	5
38	в самом	4	4
39	в этом	29	4
40	не только	36	4
41	в литературе	2	4
42	что не	4	4
43	жизни и	2	4
44	мы все	2	4
45	не в	8	4
46	с другой	14	4
47	все же	8	4
48	дело в	3	4
49	за пределы	2	4
50	и к	4	4
51	так и	14	4
52	и на	8	4
53	уже не	7	4
54	отношение к	6	4
55	как к	2	3
56	в них	6	3
57	по себе	3	3
58	и вообще	2	3
59	о том	12	3
60	или не	2	3
61	и герой	3	3
62	да и	2	3
63	внутренней речи	5	3
64	не к	3	3
65	ни в	7	3
66	все эти	2	3
67	в котором	7	3
68	социального взаимодействия	2	3
69	и наконец	2	3
70	в своей	10	3
71	мы не	2	3
72	точка зрения	3	3
73	в себе	22	3
74	еще не	20	3
75	все это	2	3
76	только на	2	3
77	когда он	3	3
78	и ее	5	3
79	между тем	5	3
80	и с	2	3
81	но для	2	3
82	в творчестве	4	3
83	не менее	6	3
84	быть и	2	3
85	в пределах	4	3
86	и по	2	3
87	самом деле	2	3
88	того что	4	3
89	но и	22	3
90	для него	9	3
91	едва ли	2	2
92	в особенности	5	2
93	одно и	2	2
94	и то	4	2
95	в его	9	2
96	данном случае	6	2
97	к его	5	2
98	имеет место	4	2
99	до конца	2	2
100	общения не	2	2
101	что в	8	2
102	к ним	3	2
103	а к	3	2
104	стороны и	3	2
105	не есть	3	2
106	как уже	5	2
107	место в	2	2
108	речи в	2	2
109	с его	9	2
110	как не	3	2
111	что и	5	2
112	это не	5	2
113	более того	2	2
114	и все	5	2
115	с точки	3	2
116	но все	2	2
117	тому же	5	2
118	в своем	11	2
119	дело с	2	2
120	но отнюдь	2	2
121	в данном	9	2
122	зависит от	2	2
123	высказывания и	3	2
124	мы имеем	4	2
125	и что	2	2
126	на примере	3	2
127	форма высказывания	2	2
128	в то	8	2
129	себя и	2	2
130	уже в	2	2
131	по природе	6	2
132	с этой	2	2
133	в этих	4	2
134	одной стороны	12	2
135	но это	3	2
136	за его	2	2
137	он не	4	2
138	в какой	2	2
139	в формах	2	2
140	в момент	2	2
141	и потому	3	2
142	общения и	4	2
143	его как	3	2
144	оно не	2	2
145	но не	17	2
146	как это	2	2
147	возможна только	2	2
148	в себя	7	2
149	до известной	2	2
150	могут быть	5	2
151	лежит на	2	2
152	совпадает с	4	2
153	частной жизни	4	2
154	в чем	2	2
155	между собой	2	2
156	в форме	2	2
157	с одной	12	2
158	к этому	4	2
159	же самое	2	2
160	высказывания с	2	2
161	известной степени	3	2
162	другой стороны	5	2
163	вместе с	3	2
164	но зато	2	2
165	на него	2	2
