N	3gram	Losev_Vesc	FransuaR
1	в то же	5	55
2	то же время	4	55
3	в том что	9	27
4	в этом отношении	2	20
5	с точки зрения	6	20
6	для того чтобы	2	17
7	о том что	4	17
8	нужно сказать что	2	14
9	не может быть	22	13
10	дело в том	4	13
11	с одной стороны	3	13
12	с другой стороны	3	12
13	и в то	3	12
14	все то что	2	11
15	можно сказать что	3	11
16	в конце концов	2	10
17	в той или	2	10
18	в данном случае	2	10
19	не только в	5	10
20	в свое время	2	9
21	мы видим что	2	9
22	более или менее	4	8
23	мы видели что	3	8
24	в чем же	5	7
25	в отрыве от	3	7
26	можно было бы	3	7
27	в самом деле	7	7
28	подобно тому как	5	7
29	о том как	4	7
30	в то время	4	7
31	но все же	2	6
32	в свою очередь	5	6
33	во всяком случае	2	5
34	в первом случае	2	5
35	в основе своей	2	5
36	как раз в	2	5
37	это и есть	4	5
38	не было ни	2	5
39	в применении к	2	5
40	друг с другом	2	5
41	и в частности	2	5
42	по сравнению с	7	5
43	только то что	3	5
44	как раз и	2	4
45	а следовательно и	2	4
46	в собственном смысле	3	4
47	мы находим в	2	4
48	но даже и	2	4
49	так же как	2	4
50	и то что	5	4
51	бы то ни	12	3
52	можно говорить о	2	3
53	содержит в себе	11	3
54	в этом смысле	2	3
55	все же не	3	3
56	не только не	4	3
57	заключается в том	3	3
58	есть не что	8	3
59	вместе с тем	3	3
60	что иное как	12	3
61	как бы ни	2	3
62	тех или иных	2	3
63	свидетельствует о том	3	3
64	руки и ноги	2	3
65	не что иное	12	3
66	и не в	3	3
67	и в этом	2	3
68	в себе в	4	3
69	явление то есть	2	2
70	сам по себе	4	2
71	ни о каком	2	2
72	только тогда когда	2	2
73	и еще один	2	2
74	в нем нет	2	2
75	хотя бы в	2	2
76	потому что они	4	2
77	дело не с	2	2
78	и есть то	2	2
79	не потому что	5	2
80	и не только	6	2
81	в том или	2	2
82	то ни было	12	2
83	из того что	3	2
84	мы не можем	3	2
85	в одном и	2	2
86	том что он	2	2
87	то что он	2	2
88	и когда она	2	2
89	может быть только	6	2
90	и с другой	2	2
91	в том чтобы	2	2
