N	3gram	Bakhtin_Fr	Vvedenie
1	для того чтобы	8	22
2	в том что	8	15
3	о том что	5	13
4	не может быть	4	10
5	до сих пор	3	7
6	в то же	14	6
7	в самом деле	2	6
8	то же время	14	6
9	с другой стороны	2	5
10	в данном случае	4	4
11	в этом отношении	7	4
12	с одной стороны	2	4
13	в отличие от	3	4
14	с точки зрения	5	4
15	можно было бы	2	4
16	вместе с тем	2	3
17	то же самое	3	3
18	как мы видели	4	3
19	в чем же	3	3
20	можно говорить о	2	3
21	можно сказать что	4	3
22	также и в	2	3
23	дело в том	4	3
24	но в то	6	3
25	и не могут	2	2
26	как мы уже	6	2
27	подобно тому как	2	2
28	в первом случае	3	2
29	а также и	4	2
30	потому что он	3	2
31	в другом месте	3	2
32	в известной мере	5	2
33	в связи с	5	2
