N	2gram	Propp_Isto	slovoVRo
1	и в	43	92
2	и т	33	82
3	в нем	11	59
4	может быть	22	59
5	и его	10	59
6	и не	16	51
7	не только	28	44
8	не может	8	41
9	но и	24	39
10	в этом	25	36
11	а не	13	34
12	так и	6	30
13	точки зрения	3	30
14	могут быть	9	29
15	и др	4	29
16	в пределах	5	29
17	в его	7	27
18	все это	4	25
19	как бы	5	24
20	то же	11	23
21	и на	7	22
22	не в	9	21
23	как в	6	21
24	вовсе не	3	21
25	в то	2	20
26	прежде всего	3	19
27	как мы	11	19
28	как и	9	18
29	себя в	2	18
30	все же	13	17
31	все эти	8	17
32	и даже	4	17
33	в большинстве	2	17
34	таким образом	15	17
35	к своему	3	16
36	при этом	4	16
37	в них	6	16
38	но в	15	16
39	там где	8	15
40	и с	10	15
41	только в	8	14
42	это не	10	13
43	в особенности	3	13
44	и для	3	13
45	с другой	10	13
46	никогда не	9	12
47	и потому	2	12
48	отношение к	4	12
49	а в	13	12
50	или в	14	12
51	во всяком	2	12
52	еще не	15	12
53	и к	4	12
54	один из	7	11
55	большинстве случаев	3	11
56	на его	5	11
57	с ними	5	11
58	одной стороны	2	11
59	в этих	18	11
60	с одной	2	11
61	в своем	2	10
62	и их	4	10
63	в том	13	10
64	и все	4	10
65	она не	4	10
66	в себе	2	10
67	всех этих	3	10
68	в него	3	10
69	т д	30	10
70	далеко не	3	10
71	уже не	11	10
72	его в	7	9
73	и от	3	9
74	одним из	4	9
75	к нему	12	9
76	здесь в	2	9
77	в своей	4	9
78	этом случае	8	9
79	сказать что	5	9
80	одна из	2	9
81	так как	13	9
82	с ее	2	9
83	но не	10	9
84	конечно не	3	9
85	он не	11	9
86	быть и	3	9
87	в одной	4	8
88	в ней	3	8
89	не на	2	8
90	все время	2	8
91	с этим	13	8
92	они могут	2	8
93	человека в	2	8
94	для нас	6	8
95	всяком случае	2	8
96	перед нами	4	7
97	том что	12	7
98	от него	3	7
99	друг друга	6	7
100	его не	3	7
101	о нем	2	7
102	ту же	2	7
103	но здесь	2	7
104	в целом	4	7
105	связи с	9	7
106	например в	3	7
107	у него	4	7
108	здесь не	6	7
109	но все	5	7
110	еще более	3	7
111	жизни и	2	7
112	не было	2	7
113	во всем	3	7
114	мы уже	9	7
115	даже в	4	6
116	ничего не	12	6
117	как к	2	6
118	роль в	2	6
119	на этом	5	6
120	а также	5	6
121	что в	29	6
122	ни в	2	6
123	дело с	2	6
124	в качестве	4	6
125	можно сказать	3	6
126	другой стороны	10	6
127	и там	6	6
128	и здесь	8	6
129	стороны и	3	6
130	хотя бы	3	6
131	связан с	5	6
132	он в	3	6
133	в свою	5	6
134	по себе	3	6
135	в одном	9	6
136	между тем	2	6
137	а как	2	5
138	героя в	6	5
139	только на	2	5
140	не знает	2	5
141	не менее	6	5
142	отношению к	2	5
