N	2gram	Berdyaev_M	VrazhdaK
1	в бесах	8	10
2	не только	42	9
3	и достоевского	2	9
4	достоевского с	3	9
5	достоевский и	4	8
6	достоевский в	7	8
7	и что	4	8
8	в этом	34	8
9	и в	61	8
10	что в	12	7
11	но и	34	7
12	и все	13	7
13	достоевского в	10	7
14	достоевского и	12	7
15	то что	10	7
16	но в	12	6
17	как и	14	6
18	– это	2	6
19	в котором	9	6
20	в начале	2	6
21	в нем	26	6
22	к достоевскому	8	6
23	и с	6	6
24	о нем	2	6
25	все же	2	6
26	и не	26	5
27	не было	25	5
28	об этом	2	5
29	в россии	2	5
30	то же	4	5
31	в то	2	5
32	у него	38	5
33	между тем	2	5
34	для нас	3	4
35	что достоевский	4	4
36	уже в	6	4
37	целый ряд	2	4
38	у достоевского	75	4
39	в своих	4	4
40	это не	10	4
41	в виду	2	4
42	все это	6	4
43	о том	5	4
44	в ней	23	4
45	как бы	10	4
46	так же	5	4
47	что он	16	4
48	достоевского не	7	4
49	в истории	2	4
50	в дневнике	4	4
51	с ним	5	4
52	подпольного человека	7	4
53	может быть	42	4
54	человека в	26	3
55	т е	5	3
56	и у	3	3
57	в том	9	3
58	в чем	3	3
59	одним из	2	3
60	его в	6	3
61	который был	4	3
62	я хотел	2	3
63	петр верховенский	4	3
64	что у	3	3
65	и во	5	3
66	в своем	17	3
67	том что	7	3
68	в его	10	3
69	сам достоевский	4	3
70	достоевского о	4	3
71	ставрогина и	2	3
72	и его	13	3
73	достоевский не	9	3
74	и как	3	3
75	в этот	2	3
76	он был	18	3
77	в русской	4	3
78	он не	34	3
79	о себе	3	3
80	достоевского к	8	3
81	эти слова	2	3
82	к этому	3	3
83	из подполья	11	3
84	но он	17	3
85	я не	4	3
86	что есть	7	3
87	в конце	11	3
88	с его	6	3
89	тем что	7	3
90	никогда не	30	2
91	же не	2	2
92	и то	2	2
93	в них	5	2
94	уже не	8	2
95	в мире	12	2
96	и достоевский	18	2
97	место в	4	2
98	в него	3	2
99	в той	3	2
100	для него	28	2
101	и это	16	2
102	великих писателей	2	2
103	а в	4	2
104	человека с	2	2
105	он сам	11	2
106	в этой	12	2
107	достоевского он	8	2
108	о достоевском	8	2
109	петра верховенского	2	2
110	и наказания	2	2
111	его с	4	2
112	в своей	18	2
113	и он	21	2
114	бесов в	2	2
115	в себе	12	2
116	точки зрения	6	2
117	о чем	3	2
118	и ее	2	2
119	в момент	3	2
120	его и	2	2
121	отношения к	6	2
122	в свою	5	2
123	достоевский был	13	2
124	не может	39	2
125	его на	4	2
126	но это	8	2
127	к себе	3	2
128	достоевского –	12	2
129	с которым	2	2
130	не мог	6	2
131	личность и	2	2
132	вместе с	7	2
133	отношение к	9	2
