N	3gram	Bakhtin_Pr	Formalny
1	с точки зрения	21	40
2	не может быть	8	29
3	на самом деле	4	21
4	то же время	13	20
5	в то же	13	20
6	и т д	4	19
7	и т п	10	18
8	во всяком случае	4	16
9	в настоящее время	3	13
10	по отношению к	12	12
11	так и в	2	11
12	в самом деле	6	11
13	в этом отношении	3	11
14	бы то ни	3	10
15	в его целом	6	10
16	в зависимости от	5	10
17	в большинстве случаев	10	9
18	и не может	6	9
19	с другой стороны	6	9
20	до сих пор	9	8
21	более или менее	4	7
22	сами по себе	4	7
23	а вовсе не	2	7
24	то ни было	2	7
25	и в этом	5	7
26	сам по себе	2	6
27	может быть и	2	6
28	в данном случае	2	6
29	и в то	2	6
30	не только не	2	6
31	в том что	6	6
32	в этом смысле	12	5
33	в отличие от	4	5
34	как раз и	5	4
35	не входит в	4	4
36	видения и понимания	4	4
37	до настоящего времени	2	4
38	в конце концов	7	4
39	и до конца	2	4
40	тем не менее	2	4
41	подобно тому как	3	4
42	в лучшем случае	2	4
43	в одной плоскости	7	4
44	сама по себе	5	4
45	в той же	3	4
46	как и все	4	4
47	дело идет о	4	4
48	но все же	3	4
49	т е в	3	3
50	в самом произведении	2	3
51	в пределах одного	6	3
52	же время не	3	3
53	но в то	7	3
54	друг с другом	3	3
55	начала и до	2	3
56	только то что	2	3
57	нам кажется что	3	3
58	как мы увидим	3	3
59	как и всякое	2	3
60	с начала и	2	3
61	бы ни были	2	3
62	то же что	3	3
63	а не как	5	3
64	но при этом	2	2
65	все то что	3	2
66	и входит в	2	2
67	не была бы	2	2
68	в отношении к	3	2
69	и наконец в	2	2
70	этой точки зрения	2	2
71	как и в	3	2
72	в самом предмете	3	2
73	как один из	2	2
74	как если бы	3	2
75	к нему и	2	2
76	между тем как	5	2
77	на этот вопрос	2	2
78	не только в	2	2
79	именно потому что	2	2
80	и не входит	2	2
81	хотя бы и	3	2
82	и в других	2	2
83	и всякое иное	2	2
84	все эти определения	2	2
85	лишь одним из	2	2
86	в целом ряде	2	2
87	вовсе не как	2	2
