N	2gram	Vinokur_Vv	Marksizm
1	точки зрения	12	69
2	может быть	30	64
3	и в	35	63
4	и не	13	55
5	как бы	7	53
6	не может	19	47
7	с точки	4	46
8	и его	6	41
9	в этом	35	39
10	таким образом	21	38
11	как мы	11	32
12	языка и	15	31
13	не только	26	29
14	в нем	13	28
15	то же	11	28
16	языка как	2	27
17	но и	7	27
18	в языке	2	26
19	самом деле	7	25
20	связи с	3	25
21	прежде всего	10	24
22	как и	7	24
23	в самом	13	24
24	так и	2	23
25	только в	16	23
26	в том	38	22
27	то что	19	22
28	а не	5	22
29	при этом	3	20
30	том что	30	19
31	не в	10	19
32	в его	12	19
33	если бы	3	19
34	на почве	5	19
35	но в	10	18
36	в ее	11	18
37	и для	4	18
38	языка в	5	18
39	в слове	3	18
40	вовсе не	6	18
41	все же	9	17
42	в сущности	3	17
43	в то	6	16
44	по отношению	4	16
45	и как	9	16
46	речь в	4	16
47	что он	5	15
48	в связи	2	15
49	во всех	2	15
50	отношению к	4	15
51	же время	6	15
52	с помощью	2	15
53	в данном	11	14
54	хотя бы	6	14
55	язык как	5	14
56	ничего не	2	13
57	так же	3	13
58	мы не	2	13
59	того чтобы	22	13
60	было бы	7	13
61	в своей	4	13
62	и здесь	3	13
63	что в	13	13
64	выражение в	2	12
65	в результате	4	12
66	а в	6	12
67	того же	3	12
68	для того	23	12
69	между тем	10	12
70	слова как	2	11
71	как в	3	11
72	к нему	3	11
73	и на	3	11
74	в ней	3	11
75	сих пор	7	11
76	не столько	2	11
77	все эти	3	11
78	так как	15	11
79	еще не	4	11
80	и того	3	11
81	и что	6	11
82	мы уже	2	11
83	до сих	7	11
84	никогда не	3	10
85	его в	6	10
86	и потому	2	10
87	в каждом	4	10
88	отличие от	4	10
89	во всяком	5	10
90	сказать что	6	10
91	одна из	3	10
92	к этому	3	10
93	в своем	3	10
94	в отличие	4	10
95	с другой	8	10
96	именно в	8	10
97	в себе	4	9
98	одного и	2	9
99	о языке	6	9
100	а как	5	9
101	это не	8	9
102	только на	3	9
103	мы видели	3	9
104	одной из	4	9
105	и это	6	9
106	к тому	4	9
107	в истории	9	9
108	рядом с	2	9
109	что это	3	9
110	не имеет	4	9
111	как целое	3	9
112	отношении к	2	9
113	же самое	3	9
114	быть и	2	9
115	в каком	3	8
116	в отношении	3	8
117	или иной	3	8
118	и ее	4	8
119	не как	3	8
120	в форме	2	8
121	или же	3	8
122	и т.д	5	8
123	в их	12	8
124	смысле этого	9	8
125	с этим	3	8
126	тому что	2	8
127	на этой	3	8
128	что не	5	8
129	что и	5	8
130	этого слова	2	8
131	другой стороны	5	8
132	мысли и	2	8
133	и даже	6	8
134	мы можем	2	8
135	у нас	2	8
136	на то	2	8
137	в свою	2	8
138	и с	2	8
139	но что	3	8
140	не было	2	8
141	чем же	3	8
142	ясно что	11	8
143	до конца	3	7
144	свою очередь	2	7
145	в формах	2	7
146	языковой формы	2	7
147	того что	12	7
148	по себе	11	7
149	и те	2	7
150	могут быть	6	7
151	в качестве	8	7
152	в этой	3	7
153	в начале	3	7
154	бы в	2	7
155	науки об	3	7
156	в этих	3	7
157	следует что	2	7
158	о том	16	7
159	в котором	4	7
160	языка не	2	7
161	не существует	2	7
162	той же	4	7
163	он сам	3	7
164	как раз	4	7
165	не есть	5	6
166	вопрос о	10	6
167	мы должны	2	6
168	в другом	3	6
169	в различных	5	6
170	он и	2	6
171	одной стороны	4	6
172	науки о	9	6
173	что же	3	6
174	в какой	6	6
175	все это	6	6
176	должна быть	2	6
177	этот процесс	4	6
178	из этих	9	6
179	как оно	3	6
180	по мере	4	6
181	зависимости от	3	6
182	язык в	3	6
183	лишь как	2	6
184	с одной	4	6
185	смысле слова	7	6
186	между ними	3	6
187	входит в	3	6
188	уже не	6	6
189	этот вопрос	7	6
190	всяком случае	5	6
191	в той	10	6
192	не к	2	6
193	этом отношении	4	5
194	но как	2	5
195	о чем	4	5
196	в конце	3	5
197	от того	3	5
198	понятно что	3	5
199	в виду	5	5
200	и тем	5	5
201	так называемая	2	5
202	из него	2	5
203	и вот	3	5
204	истории языка	6	5
205	в особенности	4	5
206	от этого	5	5
207	не менее	9	5
208	в более	4	5
209	той или	3	5
210	в первом	5	5
211	этом случае	6	5
212	хотя и	5	5
213	да и	4	5
214	себя в	2	5
215	все время	2	5
216	тем более	2	5
217	должно быть	2	5
218	языка а	2	5
219	этой почве	2	5
220	связана с	4	5
221	но не	9	5
222	значение в	2	5
223	что такое	12	5
224	история языка	2	5
225	в одном	4	5
226	связи между	4	5
227	как на	12	5
228	вместе с	6	5
229	следовательно и	2	4
230	не могут	6	4
231	его к	2	4
232	нуждается в	3	4
233	как он	6	4
234	в тех	2	4
235	что здесь	2	4
236	так называемой	3	4
237	в области	4	4
238	к своему	2	4
239	так что	5	4
240	и к	3	4
241	имеет свою	2	4
242	можно сказать	4	4
243	в них	5	4
244	в зависимости	3	4
245	и до	2	4
246	что они	2	4
247	бы и	3	4
248	и то	7	4
249	первом случае	2	4
250	независимо от	5	4
251	стороны и	3	4
252	какой бы	2	4
253	что она	3	4
254	только с	4	4
255	только что	4	4
256	но ведь	4	4
257	одним из	5	4
258	свое выражение	3	4
259	к языку	2	4
260	но все	4	4
261	языка с	2	4
262	уже знаем	2	4
263	из них	4	4
264	мог бы	2	4
265	как она	4	4
266	уже в	5	4
267	несмотря на	2	4
268	жизни и	2	4
269	именно на	2	4
270	если же	2	4
271	в работе	3	4
272	тем что	6	4
273	еще и	4	3
274	все более	4	3
275	находятся в	2	3
276	и сама	2	3
277	этого рода	9	3
278	само собой	2	3
279	в достаточной	2	3
280	действительности к	2	3
281	но если	6	3
282	должен быть	4	3
283	в значительной	3	3
284	конце концов	2	3
285	у них	2	3
286	тогда когда	4	3
287	и при	2	3
288	в виде	4	3
289	в целом	5	3
290	с тем	6	3
291	как это	5	3
292	потому что	18	3
293	по самой	2	3
294	даже и	4	3
295	во втором	2	3
296	ответ на	4	3
297	что оно	2	3
298	одной и	2	3
299	и др	2	3
300	и тогда	3	3
301	есть только	2	3
302	значение и	2	3
303	в применении	7	3
304	данном отношении	2	3
305	и вообще	3	3
306	одно и	2	3
307	языке и	4	3
308	лежит в	2	3
309	здесь не	3	3
310	но это	2	3
311	можно было	8	3
312	с их	5	3
313	в этот	2	3
314	тем не	9	3
315	применении к	6	3
316	и той	3	3
317	должен был	4	3
