N	3gram	Losev_Prob	Hudozhes
1	по отношению к	2	10
2	в том что	13	8
3	в то же	2	7
4	с другой стороны	7	6
5	для того чтобы	3	5
6	той или иной	4	5
7	так или иначе	3	4
8	того или иного	2	4
9	не может быть	2	4
10	с точки зрения	13	3
11	с одной стороны	5	3
12	в том числе	2	3
13	тем не менее	8	3
14	в этом смысле	4	3
15	в связи с	11	3
16	можно сказать что	4	3
17	то ни было	2	2
18	и прежде всего	2	2
19	бы то ни	4	2
20	в русской литературе	3	2
21	в коем случае	3	2
22	в таком случае	2	2
23	этой точки зрения	2	2
24	том что он	3	2
25	с этой точки	2	2
26	тех или иных	2	2
27	а с другой	3	2
28	ни в коем	3	2
29	сама по себе	2	2
30	в свою очередь	2	2
31	в той или	2	2
