N	3gram	Voloshinov	Vvedenie
1	для того чтобы	3	22
2	в том что	9	15
3	о том что	3	13
4	в этом смысле	2	10
5	не может быть	14	10
6	тем не менее	4	9
7	до сих пор	3	7
8	в применении к	2	6
9	в то же	6	6
10	в самом деле	10	6
11	то же время	6	6
12	во всяком случае	8	5
13	на этот вопрос	3	5
14	в данном случае	4	4
15	в этом отношении	4	4
16	с одной стороны	2	4
17	по отношению к	11	4
18	в отличие от	2	4
19	с точки зрения	15	4
20	заключается в том	2	3
21	то же самое	2	3
22	как мы видели	8	3
23	в чем же	2	3
24	в зависимости от	4	3
25	и тем не	2	3
26	можно сказать что	5	3
27	в собственном смысле	3	3
28	но в то	3	3
29	но вместе с	2	2
30	одной и той	3	2
31	мы уже знаем	3	2
32	как мы уже	5	2
33	к этому времени	2	2
34	и той же	3	2
35	сам по себе	4	2
36	что же касается	3	2
37	а также и	2	2
38	в конце концов	2	2
39	вовсе не в	2	2
40	по меньшей мере	2	2
41	в другом месте	2	2
42	может быть и	6	2
43	хотя бы и	2	2
44	жизни и творчества	2	2
45	в свою очередь	4	2
46	не могут быть	4	2
