N	2gram	Vygotskiy_	VelikijI
1	и не	18	20
2	и в	33	16
3	так как	20	9
4	то что	48	9
5	еще не	11	8
6	в истории	3	8
7	и потому	3	7
8	что они	8	7
9	а не	14	7
10	не есть	4	6
11	как бы	11	5
12	но и	14	5
13	все это	2	5
14	того что	34	5
15	что все	9	4
16	нет у	2	4
17	и все	2	4
18	как и	13	4
19	в котором	2	4
20	потому что	40	4
21	все что	2	4
22	в нем	10	4
23	в ней	2	4
24	что не	2	4
25	что мы	11	4
26	в его	15	4
27	говорить о	3	4
28	в этом	43	4
29	что он	40	4
30	и есть	8	4
31	так и	8	4
32	никогда не	10	3
33	в жизни	2	3
34	что в	33	3
35	в том	44	3
36	и для	3	3
37	не имеет	7	3
38	тому что	14	3
39	но в	9	3
40	к тому	14	3
41	их в	3	3
42	то это	2	3
43	но это	4	3
44	должно быть	10	3
45	оно не	2	3
46	хотя бы	5	3
47	в своей	5	3
48	во всех	3	3
49	в конце	3	3
50	в них	3	3
51	жизни и	2	3
52	что и	11	3
53	в вопросе	4	3
54	если не	3	3
55	и что	18	3
56	не в	10	3
57	все эти	9	3
58	в этих	7	3
59	что я	4	3
60	должна быть	7	3
61	в чем	10	3
62	тот же	7	3
63	с его	3	3
64	и то	9	2
65	с тем	9	2
66	но не	13	2
67	в прошлом	2	2
68	что их	2	2
69	и это	3	2
70	это не	8	2
71	ее в	3	2
72	не только	28	2
73	не могут	7	2
74	является в	2	2
75	а в	5	2
76	том что	41	2
77	на том	4	2
78	его к	2	2
79	но мы	7	2
80	и во	2	2
81	от него	3	2
82	во всяком	4	2
83	вслед за	3	2
84	мы это	2	2
85	могут быть	7	2
86	которые не	5	2
87	один из	4	2
88	в старой	3	2
89	почему в	2	2
90	того чтобы	26	2
91	тем что	12	2
92	чтобы сделать	2	2
93	вот почему	3	2
94	мы не	6	2
95	вопросе о	3	2
96	что было	2	2
97	можно было	11	2
98	уже на	3	2
99	только в	21	2
100	раз навсегда	2	2
101	до того	4	2
102	все равно	2	2
103	его и	4	2
104	в себя	4	2
105	прежде всего	5	2
106	вместо того	5	2
107	с ним	6	2
108	это мы	3	2
109	между тем	5	2
110	мы и	6	2
111	а с	3	2
112	для него	9	2
113	не с	2	2
